AREAP;attacked;denounce;females;Attacks per female;Denounces per female
2905701005001;0.9498997995991983;0.3466933867735471;7.192384769539078;140.18122547681656;50.79852512217244
2905701005002;1.092;0.392;8.586;137.3482156732156;50.215373515373514
2905701005003;1.232;0.446;8.932;145.45113836112282;50.314554683362736
2905701005004;1.562;0.52;11.952;135.5993150021632;45.4820843535549
2905701005005;0.9919839679358717;0.3587174348697395;8.016032064128256;135.59454318324993;48.67359872369892
2905701005006;1.516;0.526;12.786;124.18490093260449;42.943455475142066
2905701005007;1.034;0.386;9.182;119.10668526519915;42.52600320216418
2905701005008;1.232;0.462;10.032;130.87515012507262;49.48281028397127
2905701005009;0.796;0.292;7.088;121.10594960594956;43.68734598734598
2905701005010;0.958;0.354;7.72;133.37294617147543;49.85709372327016
2905701005011;1.618;0.566;13.4;127.17662057509949;42.94694837289059
2905701005012;0.834;0.286;6.488;149.6639194139194;53.43662448662447
2906501003001;0.7735470941883767;0.27655310621242485;6.683366733466934;120.67224136362405;45.06007797590961
2906501003002;0.8517034068136272;0.29458917835671344;6.755511022044089;136.73618743759008;49.00886243571614
2906501003003;1.484;0.53;12.342;122.79204440472107;44.702579976371844
2906501003004;1.642;0.594;13.216;131.08105191386585;47.3068031869418
2910057003001;0.7234468937875751;0.2685370741482966;6.589178356713427;120.39960985351762;45.84058504399182
2910057003002;1.5;0.526;11.488;138.04701467487504;47.729022659561764
2910057003003;1.606;0.54;12.28;139.2673619604398;45.98594249448673
2916104001001;1.218;0.442;9.78;130.63719825925696;46.68642909378202
2919207003001;0.912;0.252;7.238;132.19186924186909;35.929526029526016
2919207003002;1.112;0.396;9.14;132.5205001139211;46.445817778712474
2919207003003;0.9498997995991983;0.3466933867735471;7.014028056112225;148.50611423757712;52.54416035979158
2919207003004;1.078;0.392;9.098;125.23398807075264;45.28463007580649
2919207003005;1.46;0.51;12.026;127.8509857187875;43.948886029690954
2919207003006;1.052;0.362;8.216;137.82829082682017;48.03072564690213
2919207003007;1.46;0.484;11.434;131.1083459368288;43.2469270925153
2919207003008;1.588;0.582;12.842;125.70895860731301;44.892441321634344
2919926001001;0.898;0.302;8.034;123.3856143856143;44.42350149850149
2921005003001;1.172;0.418;8.898;135.53288541523816;49.27590628325921
2921005003002;1.172;0.396;9.622;125.34087607439002;41.54478381096028
2927408005001;2.468;0.902;18.354;140.67206578278865;51.96983244355939
2927408005002;1.714;0.588;14.032;126.61266682458289;44.62975363951942
2927408005003;2.67;0.942;21.884;125.20962731244927;43.94524052017331
2927408005004;1.99;0.75;18.354;111.95468839294605;43.1464506111964
2927408005005;3.736;1.248;27.304;137.78824807233454;45.8177136199737
2927408005006;0.5271629778672032;0.2052313883299799;4.96579476861167;127.16595387621543;49.18007322433879
2927408005007;3.994;1.458;31.3;129.56442902259943;47.10961203008887
2927408005008;2.86;1.0;21.982;133.78711965988444;46.68485947654031
2927408005009;5.706;2.03;46.216;124.15990116590602;44.210462297431384
2927408005010;2.464;0.924;20.398;122.44740834950402;46.59459140590173
2927408005011;1.78;0.668;14.822;123.62510685390548;45.84401477438023
2927408005012;3.472;1.224;28.368;124.3435894279851;43.70818192506985
2927408005013;7.554;2.72;57.698;132.35072257705494;47.37022905202966
2927408005014;3.1;1.066;23.672;133.96342920972992;45.813456870352454
2927408005015;2.06;0.786;16.302;128.5034435653588;49.42581968880567
2927408005016;0.4246861924686193;0.13389121338912133;3.1820083682008367;152.8923424320914;50.302185030218496
2927408005017;1.716;0.59;15.016;118.79999748445566;41.0830943456418
2927408005018;0.7730923694779116;0.2891566265060241;5.923694779116466;144.2240546156208;55.3063625352782
2927408005019;2.504;0.882;19.478;133.4391898275152;46.793466813968294
2927408005020;2.16;0.774;18.834;118.42235428090855;42.321967717151416
2927408005021;2.228;0.842;18.226;126.34358191415372;47.31281911689223
2927408005022;1.686;0.652;13.492;131.6471224106504;51.89291161755489
2927408005023;1.714;0.65;13.986;126.89523189480589;48.09757634836111
2927408005024;3.19;1.114;23.304;139.60890612955984;48.60169130236331
