Denounce;Got attacked;Females;Stress
0;0;1192;0.0
6;27;1192;0.0
22;53;1192;0.03126308456138821
32;73;1192;0.0312481871335824
26;96;1192;0.03118044214970316
38;117;1192;0.031069252344110083
49;142;1192;0.03108334354729696
62;168;1192;0.030992118840331002
70;192;1192;0.030897617454811115
77;218;1192;0.030764619713540543
81;234;1192;0.03070202710502484
86;254;1192;0.03062631472927641
92;284;1192;0.030478152196677162
107;302;1192;0.030407521929265838
103;320;1192;0.0303535521905283
111;346;1192;0.030262508607865737
118;368;1192;0.030156121485868253
117;390;1192;0.03006090668645963
127;414;1192;0.030064408903326782
133;429;1192;0.02991062668126603
132;441;1192;0.029842072499893825
139;452;1192;0.02973998969891314
146;468;1192;0.029707678807827192
142;481;1192;0.02963313644532157
153;497;1192;0.02958883655090838
143;510;1192;0.02956246345082724
166;530;1192;0.029514067118689574
168;541;1192;0.029442918828819983
159;557;1192;0.029430504443797054
166;576;1192;0.029363956245121024
182;593;1192;0.02932563182058232
171;613;1192;0.029281041084720655
173;625;1192;0.029310510160948832
165;639;1192;0.029248139199868826
165;652;1192;0.029188406594073728
178;667;1192;0.02918750252356598
175;684;1192;0.029152369002755016
186;698;1192;0.029117536675787332
188;710;1192;0.029026659219136684
177;725;1192;0.029000823245399595
182;743;1192;0.028983928574543637
197;762;1192;0.028966760846125768
219;777;1192;0.0289841917886606
203;794;1192;0.028906241822535438
209;809;1192;0.02884694134322583
206;825;1192;0.028831241851453134
218;843;1192;0.028815600069506713
209;859;1192;0.02879116480337986
209;873;1192;0.028788512555375293
225;890;1192;0.02877810440669856
224;906;1192;0.028741218401433274
228;921;1192;0.028693590728647994
242;937;1192;0.028676664887779812
236;953;1192;0.02863388583260814
223;970;1192;0.028606529512257232
242;984;1192;0.0285760838502303
248;997;1192;0.028561888129121638
238;1007;1192;0.028426797804443252
256;1023;1192;0.02843537872840794
238;1035;1192;0.02840367312750872
254;1054;1192;0.02838727788901507
263;1064;1192;0.028362425343029744
259;1078;1192;0.028314393656356296
236;1094;1192;0.028333415953088217
260;1108;1192;0.028358169915513005
258;1124;1192;0.028298207723776014
250;1140;1192;0.028302982115875817
247;1154;1192;0.02823202466715125
241;1166;1192;0.028239577866206397
274;1175;1192;0.028269073159409262
259;1188;1192;0.028199876693378912
271;1201;1192;0.02814846730976006
258;1220;1192;0.028154938739971023
281;1226;1192;0.02815739983415253
268;1236;1192;0.028148434445831857
274;1250;1192;0.02812154134762579
282;1264;1192;0.02811310580788922
261;1282;1192;0.028053251081933787
278;1300;1192;0.028095821168325756
278;1315;1192;0.028085638399110543
280;1330;1192;0.02806011876583493
274;1342;1192;0.028076179846832736
280;1356;1192;0.028080856585402113
270;1367;1192;0.028063689420219813
291;1387;1192;0.028039495672735316
270;1401;1192;0.028003110010803873
276;1413;1192;0.027992356426158698
298;1426;1192;0.028037631258153648
301;1433;1192;0.02797621319237957
284;1442;1192;0.027944667980021414
306;1459;1192;0.027945012319374442
291;1468;1192;0.02793748926345398
294;1485;1192;0.027853628908708683
279;1495;1192;0.027943938358453387
292;1503;1192;0.027914170937408115
304;1512;1192;0.027899415240121822
279;1526;1192;0.027891477659428676
297;1541;1192;0.02788176867618733
322;1552;1192;0.027856016262022082
274;1566;1192;0.027860793136915692
303;1579;1192;0.027899619687488088
304;1601;1192;0.027888054324305214
281;1616;1192;0.027826746376386925
277;1632;1192;0.027850427452461173
288;1650;1192;0.027862245725583983
290;1663;1192;0.027880216903986402
306;1679;1192;0.02784786466975161
294;1688;1192;0.02780703466145667
296;1698;1192;0.02775291981661898
282;1708;1192;0.027778420112247026
309;1722;1192;0.027755746909135032
305;1740;1192;0.027815051042973583
298;1754;1192;0.027762085301429956
313;1767;1192;0.027753173464626284
309;1779;1192;0.027745866185295037
317;1793;1192;0.027746028671753683
312;1807;1192;0.027718637617279145
296;1819;1192;0.027732942254264113
308;1836;1192;0.02773173841220916
318;1852;1192;0.027731372357718487
310;1865;1192;0.027716120402581385
300;1882;1192;0.027722178096627127
303;1898;1192;0.027728243466943286
332;1915;1192;0.02774991137007781
303;1921;1192;0.02775629590892984
313;1932;1192;0.027752242589071455
301;1945;1192;0.02772896650784464
319;1953;1192;0.02766705528855017
306;1969;1192;0.027702872425879117
312;1976;1192;0.0276881390602548
305;1985;1192;0.027675230175831515
318;1996;1192;0.02770793236837435
298;2006;1192;0.027680454086769304
329;2018;1192;0.027679621388841003
326;2030;1192;0.027749833176688075
296;2040;1192;0.027744401820937115
317;2045;1192;0.027737876752061887
330;2054;1192;0.027730685432882696
325;2064;1192;0.027727280685632006
323;2079;1192;0.027716121667071134
308;2096;1192;0.027678103707133604
317;2111;1192;0.02775216667297088
306;2126;1192;0.02774073890481122
329;2140;1192;0.0277635751551107
312;2151;1192;0.02775773237842018
326;2165;1192;0.027758553596217317
338;2173;1192;0.02771644430624223
334;2183;1192;0.027697564999200692
307;2195;1192;0.02766834466297698
304;2209;1192;0.02772024947412956
330;2217;1192;0.0277620773156325
317;2233;1192;0.0277239662599243
315;2244;1192;0.027776587473209564
