Denounce;Got attacked;Females;Stress
0;0;1257;0.0
7;35;1257;0.0
17;58;1257;0.030896331141461838
35;81;1257;0.030865357583408762
37;97;1257;0.030744934283401765
38;119;1257;0.030680514940206238
55;133;1257;0.030649878926410908
63;149;1257;0.03049373193984593
69;173;1257;0.03045567837015707
76;209;1257;0.0303428671835929
87;232;1257;0.03028861362477443
88;252;1257;0.030250631756398562
111;273;1257;0.03010564985679062
107;295;1257;0.030047724952258863
111;319;1257;0.029924455060186272
118;341;1257;0.029840050083294455
126;359;1257;0.029827454561372632
127;381;1257;0.029755270851502296
148;401;1257;0.02968902547464563
147;417;1257;0.029662007387235633
135;436;1257;0.029542835053542528
152;452;1257;0.02951166973089817
153;464;1257;0.029444007286753598
160;488;1257;0.029397375131566074
161;507;1257;0.029335268261765596
178;521;1257;0.02921791035473777
157;538;1257;0.029130798551683948
174;549;1257;0.029109298128255467
162;565;1257;0.02907450218426321
175;576;1257;0.029030294147956964
189;592;1257;0.029056051137766794
196;608;1257;0.028952897493475793
194;625;1257;0.02886612512035571
190;638;1257;0.02885966175151387
202;651;1257;0.028779655114625456
183;660;1257;0.028756776675331885
198;674;1257;0.028711615212099563
192;689;1257;0.028709200871280195
189;705;1257;0.028653595390567128
206;717;1257;0.028634920501623393
220;734;1257;0.02853626027843939
206;748;1257;0.028500713289297635
226;767;1257;0.02849424483331508
232;783;1257;0.028460857698522597
241;795;1257;0.028430581652787737
224;813;1257;0.02841007315836669
225;823;1257;0.02838132753251715
229;841;1257;0.028386983868644047
226;858;1257;0.02840182871638891
228;877;1257;0.028317725580266122
232;894;1257;0.028330552312180117
227;910;1257;0.02833816021444971
243;924;1257;0.028290664861198325
235;937;1257;0.02822892753552375
239;954;1257;0.028210512299188726
241;970;1257;0.02821268268587607
237;978;1257;0.028215661384821258
257;990;1257;0.02828150518258121
232;1003;1257;0.028272519086239296
251;1010;1257;0.028198939293408606
269;1021;1257;0.028194472634684088
251;1034;1257;0.028127564503499243
254;1050;1257;0.02809449485187856
251;1066;1257;0.028095549696792704
252;1080;1257;0.028094393898876854
266;1095;1257;0.028082211998941464
261;1105;1257;0.028021330213480217
266;1118;1257;0.028055393371202202
270;1130;1257;0.028003247829347287
287;1140;1257;0.027929305529825966
263;1161;1257;0.027889489412537907
284;1176;1257;0.027892395058896347
274;1182;1257;0.027903897576150985
281;1199;1257;0.027845716706816404
265;1215;1257;0.02787622332788277
276;1225;1257;0.02783304888782261
276;1242;1257;0.027859179631772982
265;1260;1257;0.02782450095363668
291;1272;1257;0.027812209318057377
273;1289;1257;0.02779576052744454
286;1300;1257;0.027799170131597918
278;1306;1257;0.027742209682204717
275;1321;1257;0.027759014798484315
304;1333;1257;0.0277611649093169
293;1344;1257;0.027751547309787187
280;1361;1257;0.027680928726852565
283;1368;1257;0.027657769773027106
280;1379;1257;0.027677225311808492
300;1391;1257;0.027683135257259458
288;1398;1257;0.027619633304579637
288;1415;1257;0.027604889624973674
296;1429;1257;0.0275995627479679
301;1438;1257;0.027573228417269786
311;1455;1257;0.027590185360275715
296;1469;1257;0.027566658579677987
296;1475;1257;0.027596643226592367
293;1484;1257;0.027605108776009496
298;1495;1257;0.027569204230301597
286;1506;1257;0.027607334048850306
294;1517;1257;0.027598408570504416
298;1535;1257;0.0276172973032242
318;1549;1257;0.027596452517012274
309;1563;1257;0.027558235521312882
295;1573;1257;0.027535479837927142
307;1587;1257;0.02748234503943876
309;1603;1257;0.027535178469330505
