AREAP;attacked;denounce;females;Attacks per female;Denounces per female
4100400003001;0.9905;0.364;8.537;123.69043365690027;46.69418330852149
4100400003002;1.1660830415207604;0.4047023511755878;9.573786893446723;126.64037859270907;43.78206882531797
4100400003003;2.3165;0.8355;18.621;127.66986243625068;45.806652667699794
4100400003004;2.304;0.829;18.967;125.27758541239713;45.02275479827504
4101804003001;1.1785;0.4045;9.5925;128.53243969437835;43.48102801696061
4101804003002;1.017;0.358;7.948;134.87498455277088;47.47396047579866
4101804003003;1.0675;0.394;8.599;131.44785201468613;48.293605740664475
4101804003004;1.242;0.4305;10.03;130.6964694754511;44.66373357389969
4101804003005;1.5715;0.555;12.6565;128.09924930571867;44.74239054690904
4101804003006;1.78;0.6285;14.238;129.59579107996032;45.57739470165439
4104006003001;0.94;0.3215;7.6465;132.82785262123488;45.92632041161448
4104006003002;1.6065;0.5875;13.063;127.60697212349999;46.53645002923976
4104204003001;0.854;0.3055;6.997;132.3956531621972;47.348643717393706
4104204003002;1.9115;0.675;14.2105;138.06134263535114;49.19654402444982
4104204003003;1.07007007007007;0.3838838838838839;8.81031031031031;127.6396326268444;44.59666853457697
4104204003004;1.895;0.6815;14.724;131.884351930408;47.71573860510166
4104204003005;2.0565;0.7215;15.588;136.16290519802743;47.93580111625104
4104253001001;1.6085;0.5765;13.0535;128.07784766141745;44.923847463129164
4105805005001;1.305;0.4525;11.06;123.34114397879432;42.04400537038671
4105805005002;2.08;0.7575;16.7735;126.8779392382951;45.907611775638046
4105805005003;0.9469469469469469;0.34234234234234234;7.787287287287287;130.25575972772356;46.661671814320535
4105805005004;1.499;0.5435;12.241;127.38763740049474;46.86106199518681
4105805005005;1.6755;0.626;13.3145;129.81874807436333;49.33067830360181
4105805005006;0.963963963963964;0.34284284284284283;8.088588588588589;126.0530426788594;45.39316018074185
4105805005007;0.8602904356534802;0.29844767150726087;7.8492739108663;118.30112466434575;40.4321491492689
4105805005008;1.078;0.3695;8.9455;125.8493322617353;43.49492104043184
4105805005009;1.6505;0.5835;12.559;135.65884247340938;47.057977535599775
4105805005010;0.8648648648648649;0.2977977977977978;7.385885885885886;125.83525312283467;42.29682076904298
4105805005011;1.1175;0.399;9.247;128.02387626563294;45.29945279393799
4106902005001;1.7225;0.6255;14.064;127.06699943535106;45.449990644815266
4106902005002;2.728;1.01;22.83;122.23119414407438;45.02097936517502
4106902005003;1.193;0.414;9.746;128.36029575859283;44.30551866434208
4106902005004;2.078;0.7525;16.511;128.99277292933698;46.9550957371354
