dissuasion;Run;Denounce;Females;Got attacked;Stress
False;0;0;1190;217;0.030262000874989568
False;1;0;1218;194;0.030661654865562986
False;2;0;1203;208;0.029952119215523636
False;3;0;1182;218;0.03083966463647837
False;4;0;1235;223;0.031418212554665745
False;5;0;1196;211;0.031399080095161916
False;6;0;1191;210;0.03066310344595942
False;7;0;1187;232;0.03076872555566544
False;8;0;1234;208;0.030852004965238603
False;9;0;1222;205;0.030536426888312863
False;10;0;1235;211;0.030631633811965483
False;11;0;1190;202;0.030329811335961143
False;12;0;1243;226;0.031059470181873983
False;13;0;1215;235;0.030981143889339285
False;14;0;1239;222;0.03006387650011019
False;15;0;1163;220;0.02982736533044547
False;16;0;1212;236;0.03117924850399419
False;17;0;1254;207;0.030938891867674526
False;18;0;1180;214;0.0305263750649735
False;19;0;1256;208;0.030300708090023547
False;20;0;1181;212;0.029666897694655973
False;21;0;1206;196;0.02995641674889141
False;22;0;1184;214;0.029676307241676216
False;23;0;1250;219;0.03095511445227519
False;24;0;1218;204;0.030554480616225295
False;25;0;1201;215;0.03048702005865958
False;26;0;1219;239;0.029087784151730404
False;27;0;1201;192;0.03016764013806163
False;28;0;1260;212;0.02943031106238019
False;29;0;1202;223;0.031064027071017138
False;30;0;1210;206;0.030193534625663876
False;31;0;1221;209;0.029783014730122837
False;32;0;1179;239;0.030943653418781646
False;33;0;1227;193;0.030215460179048588
False;34;0;1239;217;0.030749527912272905
False;35;0;1193;193;0.02954587787830976
False;36;0;1191;186;0.0301915678216269
False;37;0;1231;227;0.031086232897266933
False;38;0;1178;178;0.030393673591621623
False;39;0;1256;176;0.030457460605256118
False;40;0;1193;252;0.03084403210688869
False;41;0;1195;204;0.030307710565261586
False;42;0;1243;224;0.031089026652324343
False;43;0;1259;206;0.030392133252075907
False;44;0;1245;218;0.03131285799438617
False;45;0;1234;237;0.029920939734835755
False;46;0;1234;230;0.03146628517722751
False;47;0;1201;203;0.0311618573272415
False;48;0;1183;213;0.03129577465520581
False;49;0;1243;257;0.03082782778974509
False;50;0;1250;197;0.03154878588283519
False;51;0;1201;249;0.031133830628599167
False;52;0;1224;217;0.03096764322330999
False;53;0;1236;208;0.030733526029831922
False;54;0;1230;210;0.03045474041412906
False;55;0;1224;214;0.030798035884385226
False;56;0;1144;220;0.030992352216500985
False;57;0;1222;209;0.030490539366529585
False;58;0;1239;256;0.031590477020712486
False;59;0;1194;210;0.03103491605125972
False;60;0;1263;210;0.031815098570206
False;61;0;1213;211;0.03124963959185321
False;62;0;1194;206;0.030670145667446188
False;63;0;1280;219;0.030816226886994535
False;64;0;1217;209;0.03140206073461067
False;65;0;1250;198;0.03163052423251889
False;66;0;1166;264;0.030781897237908973
False;67;0;1239;260;0.03027306019742203
False;68;0;1251;217;0.03069986566732803
False;69;0;1210;228;0.030037611452329156
False;70;0;1262;209;0.029643462398823112
False;71;0;1215;223;0.030271327869963918
False;72;0;1259;234;0.03175714477317073
False;73;0;1220;204;0.03101371664757907
False;74;0;1214;233;0.03095040793390943
False;75;0;1221;226;0.03058283244022834
False;76;0;1240;187;0.030466104058963397
False;77;0;1202;201;0.03177540976626317
False;78;0;1178;223;0.029810011431652822
False;79;0;1192;203;0.02953609176788597
False;80;0;1240;169;0.030093430345754645
False;81;0;1199;232;0.03088779726294683
False;82;0;1224;190;0.031129530169739777
False;83;0;1181;215;0.030306269338400738
False;84;0;1249;212;0.030438298292689167
False;85;0;1234;242;0.031029254296583587
False;86;0;1202;228;0.030792414315839744
False;87;0;1247;227;0.030263125939552625
False;88;0;1250;204;0.03112144578400718
False;89;0;1237;221;0.029986717498446853
False;90;0;1211;231;0.031492342573699324
False;91;0;1218;216;0.031572166523701026
False;92;0;1253;223;0.0304635582214166
False;93;0;1174;224;0.030574651558677692
False;94;0;1209;219;0.03100773386759773
False;95;0;1217;220;0.03025265402368677
False;96;0;1217;220;0.031041610084003118
False;97;0;1243;220;0.03034650656696971
False;98;0;1261;204;0.029778370364069464
False;99;0;1206;204;0.03035897879469522
False;100;0;1189;219;0.030664982867684893
False;101;0;1243;230;0.03142202024127105
False;102;0;1195;224;0.030420215585772327
False;103;0;1237;184;0.02982590878901192
False;104;0;1182;224;0.0306969528827097
False;105;0;1188;211;0.030591496593729457
False;106;0;1194;223;0.029863000379550295
False;107;0;1185;212;0.03205920637208427
False;108;0;1224;198;0.03064326655883162
False;109;0;1252;216;0.029376734647983422
False;110;0;1220;240;0.031117894418157186
False;111;0;1215;242;0.030944864049417025
False;112;0;1236;233;0.030850419591336765
False;113;0;1228;195;0.03130795914092013
False;114;0;1213;201;0.030713156691492702
False;115;0;1223;247;0.030488019452244386
False;116;0;1228;226;0.030743615192630386
False;117;0;1184;206;0.030619417482370695
False;118;0;1176;215;0.029922493484078574
False;119;0;1221;190;0.029614779797266344
False;120;0;1209;209;0.03028587631036257
False;121;0;1224;244;0.031128079022877685
False;122;0;1240;201;0.030675448781779958
False;123;0;1223;221;0.030357528041844505
False;124;0;1228;170;0.03096621827818913
False;125;0;1198;221;0.030647425761705933
False;126;0;1194;216;0.030788636265805823
False;127;0;1169;204;0.02942784118743875
False;128;0;1201;212;0.03089774078425193
False;129;0;1211;248;0.030653764753029007
False;130;0;1186;214;0.030772020549342863
False;131;0;1253;198;0.030106353137312795
False;132;0;1176;244;0.029346543506781758
False;133;0;1203;213;0.030957067704947716
False;134;0;1220;264;0.030180438492999
False;135;0;1222;216;0.0315149719895031
False;136;0;1216;230;0.031489395384236084
False;137;0;1213;216;0.030639921360505553
False;138;0;1218;211;0.030817304011893372
False;139;0;1229;263;0.031669993378255226
False;140;0;1252;223;0.0312671454174605
False;141;0;1214;236;0.03079886410391855
False;142;0;1176;244;0.030717679813226692
False;143;0;1215;246;0.030587608020453672
False;144;0;1187;206;0.03132245659466661
False;145;0;1196;205;0.0309177374863537
False;146;0;1227;205;0.03072496626864847
False;147;0;1242;233;0.029874687652511212
False;148;0;1186;235;0.03075086387745306
False;149;0;1255;220;0.03196984630997923
False;150;0;1212;221;0.02983779583178561
False;151;0;1239;235;0.030890563941636417
False;152;0;1203;208;0.02990737068325223
False;153;0;1209;209;0.030903976179317717
False;154;0;1284;264;0.031621941239133665
False;155;0;1264;235;0.030231909121875455
False;156;0;1246;218;0.03021201485669378
False;157;0;1201;216;0.03019430685975035
False;158;0;1198;241;0.029659120126852272
False;159;0;1174;216;0.02982397415368313
False;160;0;1168;225;0.03016918702088439
False;161;0;1229;183;0.02977723117159479
False;162;0;1220;230;0.029155209818106737
False;163;0;1214;205;0.03105300669389955
False;164;0;1189;218;0.02993920227915765
False;165;0;1233;240;0.031184881976670523
False;166;0;1274;210;0.030914040907332112
False;167;0;1217;218;0.030622478018797583
False;168;0;1232;196;0.029982566741521745
False;169;0;1203;228;0.030943393897246648
False;170;0;1264;213;0.03151132733574359
False;171;0;1204;198;0.030774406808090026
False;172;0;1196;225;0.030733590452458187
False;173;0;1224;213;0.029975342281312597
False;174;0;1213;216;0.03073611055902369
False;175;0;1233;193;0.030193541584017214
False;176;0;1205;211;0.030548345323250348
False;177;0;1249;240;0.030372207666730235
False;178;0;1195;231;0.030887895183665998
False;179;0;1173;203;0.030768777088833913
False;180;0;1241;218;0.030831572970535508
False;181;0;1234;214;0.03161087564260465
False;182;0;1242;207;0.03189308500789448
False;183;0;1209;239;0.032654192626877715
False;184;0;1233;228;0.031172893725668154
False;185;0;1195;225;0.0312786922601116
False;186;0;1261;245;0.031211314823726154
False;187;0;1236;207;0.03095707009396092
False;188;0;1238;204;0.02988153940141927
False;189;0;1213;198;0.0293309023082635
False;190;0;1256;238;0.030664449705979462
False;191;0;1194;236;0.030609415429431665
False;192;0;1217;240;0.03091618562872212
False;193;0;1201;201;0.030102997253046396
False;194;0;1179;230;0.03198592348819596
False;195;0;1165;202;0.03032548033550447
False;196;0;1235;220;0.03042079249061992
False;197;0;1256;223;0.02984014129616927
False;198;0;1222;199;0.030180989813113422
False;199;0;1178;213;0.030863950698218894
True;200;80;1213;215;0.030083153680747304
True;201;79;1261;220;0.030173822044807345
True;202;75;1268;200;0.02953735227252689
True;203;72;1269;183;0.029930097662659354
True;204;79;1252;216;0.03019484628436593
True;205;90;1214;230;0.031314799850168704
True;206;71;1286;220;0.030325359103915515
True;207;74;1248;205;0.030195527664065726
True;208;80;1237;212;0.029778455141262757
True;209;61;1216;198;0.030574258389847408
True;210;83;1241;221;0.03063849279261314
True;211;63;1216;218;0.03074102748904251
True;212;83;1208;227;0.029801036300607712
True;213;73;1244;206;0.029854279825983973
True;214;77;1243;189;0.02967046938310515
True;215;70;1183;229;0.03022590025255095
True;216;68;1170;204;0.029726729959672245
True;217;77;1237;201;0.029855122381579502
True;218;73;1257;207;0.029936023667083516
True;219;67;1261;228;0.029622837400778434
True;220;71;1206;190;0.03125700766965411
True;221;79;1257;227;0.029754830117427425
True;222;82;1227;193;0.030417808034677987
True;223;77;1218;221;0.029490128649577164
True;224;72;1224;219;0.030703640757138374
True;225;63;1181;187;0.030593043186746192
True;226;77;1200;212;0.030705728140057193
True;227;69;1267;196;0.02937490067692383
True;228;65;1256;228;0.02987153814844668
True;229;80;1227;217;0.030100720561737963
True;230;83;1191;207;0.029871750778703673
True;231;83;1174;246;0.030056356356114648
True;232;64;1194;195;0.03064372520495808
True;233;75;1229;217;0.029754722042592562
True;234;75;1150;214;0.030110178759475376
True;235;60;1218;202;0.029647711785784892
True;236;76;1199;196;0.030110547886555164
True;237;77;1179;221;0.030454205229459356
True;238;77;1210;200;0.031406899784107815
True;239;85;1232;235;0.030057746380543315
True;240;85;1173;214;0.029963935921604984
True;241;77;1204;220;0.030529669435143583
True;242;59;1256;193;0.030393784492665957
True;243;82;1189;217;0.02982032084742148
True;244;81;1200;233;0.029867998732360863
True;245;106;1256;234;0.030484172543627393
True;246;74;1221;216;0.030678656063225347
True;247;66;1219;189;0.02940055020054743
True;248;84;1180;233;0.03011708300075592
True;249;66;1261;215;0.030313106531713273
True;250;89;1229;220;0.03035934513689724
True;251;79;1224;219;0.03031722107712182
True;252;75;1176;193;0.03031972454443892
True;253;78;1229;214;0.030214569165216563
True;254;67;1206;205;0.02994900004266415
True;255;89;1274;221;0.029804930862387974
True;256;54;1205;188;0.03004912096523794
True;257;56;1201;187;0.03037507018749149
True;258;72;1207;189;0.030983136147949526
True;259;94;1175;239;0.030061259194058155
True;260;94;1171;230;0.030828063785721015
True;261;72;1249;195;0.030058160865320697
True;262;81;1219;195;0.03041102970216411
True;263;74;1266;188;0.03025494605384815
True;264;73;1215;211;0.031113429517880136
True;265;69;1259;204;0.03118720453111025
True;266;77;1236;218;0.02956884984642125
True;267;71;1197;226;0.03103372191274705
True;268;76;1153;206;0.03054520145532845
True;269;75;1274;201;0.029734946278005298
True;270;72;1200;205;0.029827100013925367
True;271;83;1196;241;0.03099465883445515
True;272;59;1249;181;0.029755062043098718
True;273;60;1208;201;0.030098195071281555
True;274;73;1238;226;0.03026023265693371
True;275;85;1273;235;0.03066237880200182
True;276;75;1234;234;0.029824178655793673
True;277;104;1321;232;0.029712055866116673
True;278;74;1186;187;0.03026382983096641
True;279;78;1263;212;0.030587532069634254
True;280;78;1169;214;0.029808399727136524
True;281;67;1199;213;0.029878528852994125
True;282;71;1194;188;0.03115954337966409
True;283;75;1204;210;0.030136049340054955
True;284;93;1248;228;0.02953876383808056
True;285;80;1201;212;0.029255618684917377
True;286;69;1187;215;0.029257429977179557
True;287;86;1221;245;0.030393528376790765
True;288;58;1150;177;0.030333921759019417
True;289;69;1174;204;0.03031780404018136
True;290;87;1268;220;0.030369962824090452
True;291;72;1215;206;0.031167905764468776
True;292;68;1220;188;0.02963313163554444
True;293;81;1226;213;0.030768483190471024
True;294;69;1219;170;0.028709144993844613
True;295;67;1186;211;0.029417462794669915
True;296;62;1174;192;0.03042197047903975
True;297;80;1225;226;0.030356373363733386
True;298;67;1251;225;0.030934484679590445
True;299;71;1223;199;0.02954655260403843
True;300;84;1211;234;0.030779024768847307
True;301;80;1185;225;0.030831086832431128
True;302;83;1245;242;0.030230379801250762
True;303;92;1252;218;0.03012344505910763
True;304;80;1266;203;0.030065302027378872
True;305;74;1223;220;0.030444060379442164
True;306;79;1227;242;0.030138061087135355
True;307;82;1210;206;0.03025698134460757
True;308;59;1212;197;0.030437795264614827
True;309;76;1237;211;0.030382091213841757
True;310;73;1240;198;0.02957262839829438
True;311;92;1232;236;0.031037633217567296
True;312;72;1169;196;0.030776827544048035
True;313;73;1185;233;0.02954126023457674
True;314;71;1222;191;0.03042837575609031
True;315;72;1249;213;0.030893635034007712
True;316;74;1276;207;0.030517405035037286
True;317;67;1237;211;0.030348425548772685
True;318;69;1206;203;0.02948863217967547
True;319;74;1253;217;0.029894762998534108
True;320;81;1199;220;0.03024603248206354
True;321;79;1192;214;0.02991920480350012
True;322;72;1244;231;0.030322840035585497
True;323;73;1207;216;0.029351441781586822
True;324;77;1241;216;0.030476291923839813
True;325;68;1260;184;0.030857969918905406
True;326;62;1251;181;0.029718948702161983
True;327;75;1196;200;0.029797477896136064
True;328;80;1233;208;0.03044301859238766
True;329;79;1233;222;0.03006450983823015
True;330;83;1178;189;0.029366873989777775
True;331;73;1210;194;0.029543294466853904
True;332;69;1229;214;0.031041194025926262
True;333;87;1304;247;0.029600211808302357
True;334;71;1227;209;0.029553553768347278
True;335;67;1267;216;0.029905175829618616
True;336;63;1189;192;0.03021672096104732
True;337;74;1203;212;0.02999183523874522
True;338;85;1189;221;0.030159471293649084
True;339;84;1227;223;0.030475824994349292
True;340;89;1255;226;0.029389394175060667
True;341;70;1210;200;0.030067796192709086
True;342;84;1230;197;0.029202400440285537
True;343;75;1185;226;0.029985162956360886
True;344;80;1207;198;0.029458853239561496
True;345;73;1194;210;0.030378070957768958
True;346;76;1235;228;0.030958915815547744
True;347;66;1207;192;0.030281076650819888
True;348;89;1253;214;0.03029055581146272
True;349;65;1192;194;0.030916786927228435
True;350;68;1238;195;0.0301655426002733
True;351;66;1202;187;0.030573429504995583
True;352;74;1201;190;0.029634853762823647
True;353;88;1256;224;0.03030171687305926
True;354;64;1252;209;0.030627777998931113
True;355;76;1244;211;0.030965167736029097
True;356;74;1196;204;0.030938240391862798
True;357;71;1210;186;0.029735607120013018
True;358;82;1192;239;0.029926998674919433
True;359;75;1206;195;0.030263517450080574
True;360;68;1245;204;0.030340273087520523
True;361;78;1199;221;0.02954180152707637
True;362;86;1210;237;0.029519210497982135
True;363;81;1223;224;0.030954189249480568
True;364;82;1200;220;0.03056204605975234
True;365;78;1236;249;0.030496128276416692
True;366;71;1199;199;0.03100303292433042
True;367;70;1188;226;0.029561914620278847
True;368;66;1220;203;0.030383823801480934
True;369;68;1226;217;0.030049336271926675
True;370;60;1242;213;0.030718878302680164
True;371;59;1207;176;0.031109146788741278
True;372;82;1208;230;0.03061344919760897
True;373;81;1205;212;0.029395699225294603
True;374;80;1193;227;0.029940164552967965
True;375;74;1193;207;0.029270779560999154
True;376;77;1182;205;0.030880351750917995
True;377;66;1235;188;0.030608505137465304
True;378;74;1196;218;0.029865564894960124
True;379;91;1266;215;0.030109171317744838
True;380;80;1203;223;0.030953136237805066
True;381;95;1215;220;0.03046469312112319
True;382;79;1227;199;0.03071041045459174
True;383;74;1236;180;0.029202042982532882
True;384;86;1190;214;0.029914744652468395
True;385;77;1197;208;0.030130917242814925
True;386;87;1254;219;0.02973766943936796
True;387;64;1263;197;0.03061491335776708
True;388;77;1245;194;0.030120955317947347
True;389;70;1172;221;0.02939457104925492
True;390;71;1192;228;0.030071464996747076
True;391;69;1235;207;0.029146146008211377
True;392;79;1219;218;0.03031804333394457
True;393;82;1227;217;0.029666741931554115
True;394;74;1185;200;0.029270572295604536
True;395;62;1240;193;0.030179718938505226
True;396;68;1204;187;0.030526527985482405
True;397;63;1164;191;0.030297492013300925
True;398;77;1178;217;0.030269571988396835
True;399;75;1223;196;0.029600407877839564
