Person;Victim;Aggressor;Stress
4123;0;0;0.0
4105;9;9;0.0
4069;27;27;0.024187852514400983
4029;47;47;0.024337488906785137
4003;60;60;0.024498636593470416
3953;85;85;0.02462186705128799
3917;103;103;0.024723345051119058
3881;121;121;0.024809344988268946
3843;140;140;0.02488684040624214
3825;149;149;0.02499018458329801
3801;161;161;0.025066314798944035
3769;177;177;0.025173425569828146
3751;186;186;0.025219306657353766
3727;198;198;0.025292356978071986
3687;218;218;0.025307430238489095
3661;231;231;0.025387697610297633
3639;242;242;0.025389891194023503
3621;251;251;0.025466888081921178
3585;269;269;0.02544238776664399
3569;277;277;0.025510507540298943
3547;288;288;0.02557022783062378
3503;310;310;0.02561267966631615
3475;324;324;0.02560017212478123
3445;339;339;0.025626612080560437
3421;351;351;0.025628520601008006
3395;364;364;0.025650760761536107
3379;372;372;0.025651444436815888
3359;382;382;0.025666645786870872
3337;393;393;0.025706622275375523
3323;400;400;0.025708065862592524
3303;410;410;0.02576478093060647
3291;416;416;0.025744210319260215
3277;423;423;0.025777260159121296
3261;431;431;0.025763166982865283
3237;443;443;0.025730186245643875
3219;452;452;0.02574995866125028
3197;463;463;0.025760238057190025
3175;474;474;0.02578400222472123
3153;485;485;0.025783790707400292
3137;493;493;0.02582708635523002
3111;506;506;0.02577469773186152
3101;511;511;0.025753942120432544
3087;518;518;0.02575585126771838
3075;524;524;0.025747340941049548
3061;531;531;0.02575169337390026
3041;541;541;0.025831170448252488
3033;545;545;0.025883879516750103
3023;550;550;0.025906130004095224
3005;559;559;0.025911405671496458
2983;570;570;0.025879706538341284
2971;576;576;0.02590132928793789
2959;582;582;0.02587459870337336
2943;590;590;0.02589936022693249
2937;593;593;0.025918722116532584
2937;593;593;0.025929229139380845
2925;599;599;0.025941222499143237
2913;605;605;0.025913339553754584
2907;608;608;0.02587384146421823
