Denounce;Got attacked;Females;Stress;run
0;0;1233;0.0;0
3;16;1233;0.0;0
13;29;1233;0.029718720967356706;0
13;53;1233;0.029688451119381672;0
25;76;1233;0.029646249558334774;0
31;93;1233;0.029594183097460067;0
38;113;1233;0.029517526115964043;0
46;128;1233;0.029495381783298295;0
44;151;1233;0.029433337403130217;0
58;169;1233;0.02930094224713659;0
70;186;1233;0.029254862303930065;0
0;0;1221;0.0;1
6;23;1221;0.0;1
12;41;1221;0.029413024165249914;1
24;58;1221;0.0293288176598963;1
26;76;1221;0.029328335214371774;1
41;103;1221;0.029216299256623075;1
40;129;1221;0.02916212039479825;1
57;149;1221;0.029077482328724605;1
66;164;1221;0.029082121695758283;1
64;201;1221;0.02899178954595246;1
84;219;1221;0.028856216619005996;1
0;0;1221;0.0;2
4;15;1221;0.0;2
10;33;1221;0.030097965037539667;2
11;54;1221;0.03008797424574883;2
26;76;1221;0.030060983766870303;2
40;97;1221;0.03001829672745915;2
47;123;1221;0.02996982778579531;2
55;142;1221;0.02986293148427361;2
64;170;1221;0.029742886520664404;2
79;193;1221;0.029687400920980364;2
79;210;1221;0.02958497504992053;2
0;0;1219;0.0;3
3;18;1219;0.0;3
11;41;1219;0.030325440889107266;3
18;61;1219;0.030338519068249487;3
28;80;1219;0.030235622866267846;3
46;107;1219;0.030192265016372313;3
46;125;1219;0.03010587992118939;3
50;155;1219;0.03001748493891075;3
63;179;1219;0.02997578922522294;3
66;198;1219;0.029923364044800626;3
86;222;1219;0.029814914982149363;3
0;0;1220;0.0;4
4;20;1220;0.0;4
10;39;1220;0.030236772948792567;4
22;58;1220;0.030226599137749437;4
25;79;1220;0.03018417511631738;4
31;100;1220;0.03009494483645248;4
34;121;1220;0.02998017882008015;4
59;150;1220;0.030012057091950102;4
62;167;1220;0.029890378381155092;4
67;191;1220;0.029786144438239574;4
84;220;1220;0.02966167738278985;4
0;0;1165;0.0;5
4;16;1165;0.0;5
15;41;1165;0.029498627261657;5
21;63;1165;0.0294415855189394;5
28;83;1165;0.029410703327421635;5
45;99;1165;0.029335201579600696;5
49;122;1165;0.029263558771656213;5
55;142;1165;0.02917956723970263;5
54;161;1165;0.029147002400510272;5
72;178;1165;0.02908085840900851;5
75;197;1165;0.028937148364787064;5
0;0;1257;0.0;6
3;10;1257;0.0;6
13;30;1257;0.0298057034963101;6
19;50;1257;0.02977208558632762;6
22;75;1257;0.029734735257337684;6
36;89;1257;0.02969311366784578;6
