AREAP;attacked;denounce;females;Attacks per female;Denounces per female
1100122003001;23.6585;8.4385;184.4735;128.521820047884;45.81260797543551
1100122003002;27.3425;9.825;215.735;126.97629642046442;45.60830907730755
1100122003003;28.6665;10.2735;224.691;127.8673558780676;45.80337977137958
1100122003004;29.463;10.582;230.0535;128.33461475643205;46.08583807624629
1100122003005;46.334;16.5495;340.809;136.10436465257646;48.63377622570723
1100122003006;57.62;20.517;452.5395;127.45715716628388;45.394171956166325
