metro;Run;Aggressor;Person;Stress;aggressor_pct
MANAUS;0;48;1680;0.015399648729970013;0.02857142857142857
MANAUS;1;37;1696;0.01525643444699954;0.021816037735849055
MANAUS;2;45;1677;0.015476516594481973;0.026833631484794274
MANAUS;3;47;1698;0.014978783121707664;0.02767962308598351
MANAUS;4;58;1644;0.015600935029478832;0.03527980535279805
MANAUS;5;38;1730;0.01508669749523622;0.021965317919075144
MANAUS;6;47;1659;0.015087139204392126;0.028330319469559977
MANAUS;7;52;1688;0.015153985697572023;0.030805687203791468
MANAUS;8;41;1689;0.015415966952982404;0.02427471876850207
MANAUS;9;49;1677;0.015598112255008378;0.029218843172331546
MANAUS;10;51;1642;0.014951140247592844;0.031059683313032885
MANAUS;11;53;1677;0.015341673899207077;0.031604054859868815
MANAUS;12;34;1727;0.015541122526202279;0.019687319050376375
MANAUS;13;52;1664;0.015463145626726519;0.03125
MANAUS;14;48;1711;0.015075923819538598;0.028053769725306838
MANAUS;15;52;1666;0.01541652644842779;0.031212484993997598
MANAUS;16;48;1718;0.015343217218515065;0.027939464493597205
MANAUS;17;47;1701;0.015205159758465758;0.027630805408583186
MANAUS;18;46;1716;0.015434281945063548;0.026806526806526808
MANAUS;19;51;1689;0.015608290694729597;0.03019538188277087
BELEM;20;48;1941;0.015636047677842307;0.02472952086553323
BELEM;21;47;1935;0.015062688048296993;0.02428940568475452
BELEM;22;46;1953;0.014830988385326573;0.023553507424475168
BELEM;23;43;1942;0.015044589577372142;0.022142121524201853
BELEM;24;48;1955;0.0147190056723777;0.024552429667519183
BELEM;25;58;1910;0.015348542864733274;0.030366492146596858
BELEM;26;52;1931;0.015492415235813893;0.026929052304505437
BELEM;27;46;1928;0.014830524736911842;0.023858921161825725
BELEM;28;49;1911;0.01485828944100094;0.02564102564102564
BELEM;29;46;1923;0.015045422307204688;0.02392095683827353
BELEM;30;53;1895;0.015312698467125742;0.027968337730870714
BELEM;31;45;1931;0.014642119514773093;0.02330398757120663
BELEM;32;48;1928;0.014871291279535199;0.024896265560165973
BELEM;33;51;1903;0.015022744870263411;0.026799789805570153
BELEM;34;58;1915;0.015220651193389851;0.030287206266318537
BELEM;35;51;1948;0.014772336747379893;0.026180698151950718
BELEM;36;50;1909;0.015239560300293971;0.026191723415400735
BELEM;37;55;1917;0.015138314561876653;0.028690662493479395
BELEM;38;51;1917;0.014826737839381496;0.026604068857589983
BELEM;39;50;1935;0.015117492701691186;0.025839793281653745
MACAPA;40;27;1135;0.01572244003384424;0.02378854625550661
MACAPA;41;30;1155;0.015569200367192766;0.025974025974025976
MACAPA;42;30;1132;0.015449000408518;0.026501766784452298
MACAPA;43;25;1136;0.015554107573800248;0.022007042253521125
MACAPA;44;34;1134;0.015040462201180724;0.029982363315696647
MACAPA;45;30;1165;0.015889540421748356;0.02575107296137339
MACAPA;46;28;1159;0.015662424232041096;0.024158757549611734
MACAPA;47;29;1172;0.0152261030254983;0.024744027303754267
MACAPA;48;35;1125;0.015454834562836728;0.03111111111111111
MACAPA;49;27;1151;0.01558039863298292;0.023457862728062554
MACAPA;50;39;1131;0.015305858809335543;0.034482758620689655
MACAPA;51;40;1124;0.015901735448166074;0.03558718861209965
MACAPA;52;37;1124;0.01560919404787014;0.03291814946619217
MACAPA;53;33;1170;0.01624033801251985;0.028205128205128206
MACAPA;54;31;1148;0.015541352718891868;0.02700348432055749
MACAPA;55;31;1160;0.015537249914455606;0.026724137931034484
MACAPA;56;28;1142;0.015805179293291557;0.024518388791593695
MACAPA;57;25;1164;0.015685614346514717;0.02147766323024055
MACAPA;58;32;1130;0.015619239669131155;0.02831858407079646
MACAPA;59;33;1163;0.01562347152896404;0.028374892519346516
SAO LUIS;60;32;1754;0.014965991870426154;0.018244013683010263
SAO LUIS;61;45;1835;0.015051533749827479;0.02452316076294278
SAO LUIS;62;36;1808;0.014889077674883136;0.01991150442477876
SAO LUIS;63;43;1729;0.015230018027396064;0.024869866975130134
SAO LUIS;64;39;1784;0.01507541409818219;0.021860986547085202
SAO LUIS;65;57;1754;0.015118400469085372;0.03249714937286203
SAO LUIS;66;47;1761;0.01477911844581604;0.02668938103350369
SAO LUIS;67;57;1746;0.015086370188744565;0.03264604810996564
SAO LUIS;68;42;1782;0.014683710546592475;0.02356902356902357
SAO LUIS;69;49;1731;0.014629451321497186;0.02830733679953784
SAO LUIS;70;40;1746;0.01484611572493572;0.022909507445589918
SAO LUIS;71;49;1726;0.014882810972721162;0.028389339513325607
SAO LUIS;72;44;1755;0.014953295809054827;0.02507122507122507
SAO LUIS;73;53;1707;0.014839063033762813;0.031048623315758642
SAO LUIS;74;47;1713;0.01467218073771714;0.027437244600116754
SAO LUIS;75;42;1737;0.015162626624703232;0.024179620034542316
SAO LUIS;76;45;1758;0.014690131011754388;0.025597269624573378
SAO LUIS;77;45;1765;0.015035979234718562;0.025495750708215296
SAO LUIS;78;37;1771;0.014679426442285362;0.020892151326933936
SAO LUIS;79;51;1751;0.015100086011369548;0.02912621359223301
TERESINA;80;42;1764;0.015357309749312998;0.023809523809523808
TERESINA;81;37;1824;0.015483538176518123;0.020285087719298246
TERESINA;82;55;1754;0.015366084069896323;0.03135689851767389
TERESINA;83;39;1758;0.01527817203210823;0.02218430034129693
TERESINA;84;48;1831;0.015440363306501951;0.026215182960131075
TERESINA;85;42;1810;0.015362016546395327;0.023204419889502764
TERESINA;86;52;1785;0.015566561605379881;0.029131652661064426
TERESINA;87;43;1800;0.015446844773539208;0.02388888888888889
