is_working_pct;under_influence;has_gun;gender_stress;chance_changing_working_status;pct_change_wage;Run;Aggressor;Person;Stress;aggressor_pct
0.1;0.01;0.1;0.1;0.01;0.01;0;45;2176;0.010731334192279193;0.02068014705882353
0.1;0.01;0.1;0.1;0.01;0.17333333333333334;1;35;2226;0.010842959444088673;0.015723270440251572
0.1;0.01;0.1;0.1;0.01;0.33666666666666667;2;40;2191;0.010955951669524145;0.018256503879507075
0.1;0.01;0.1;0.1;0.01;0.5;3;48;2183;0.010806193984910862;0.021988089784699953
0.1;0.01;0.1;0.1;0.17333333333333334;0.01;4;37;2178;0.010314255868806998;0.016988062442607896
0.1;0.01;0.1;0.1;0.17333333333333334;0.17333333333333334;5;47;2164;0.010340713360086566;0.021719038817005546
0.1;0.01;0.1;0.1;0.17333333333333334;0.33666666666666667;6;37;2188;0.010585717160446624;0.016910420475319928
0.1;0.01;0.1;0.1;0.17333333333333334;0.5;7;32;2198;0.01047905205745215;0.014558689717925387
0.1;0.01;0.1;0.1;0.33666666666666667;0.01;8;40;2158;0.010519090387447184;0.018535681186283594
0.1;0.01;0.1;0.1;0.33666666666666667;0.17333333333333334;9;44;2180;0.010470248625743583;0.02018348623853211
0.1;0.01;0.1;0.1;0.33666666666666667;0.33666666666666667;10;30;2202;0.01048996505316279;0.013623978201634877
0.1;0.01;0.1;0.1;0.33666666666666667;0.5;11;34;2197;0.010037852101944508;0.015475648611743286
0.1;0.01;0.1;0.1;0.5;0.01;12;47;2153;0.01047562883855217;0.02183000464468184
0.1;0.01;0.1;0.1;0.5;0.17333333333333334;13;41;2185;0.010147949071354611;0.018764302059496567
0.1;0.01;0.1;0.1;0.5;0.33666666666666667;14;38;2201;0.010250229454303076;0.017264879600181735
0.1;0.01;0.1;0.1;0.5;0.5;15;39;2170;0.010149065102929311;0.017972350230414748
0.1;0.01;0.1;0.3666666666666667;0.01;0.01;16;28;2192;0.010637686437224746;0.012773722627737226
0.1;0.01;0.1;0.3666666666666667;0.01;0.17333333333333334;17;44;2157;0.010339305055797575;0.020398701900788133
0.1;0.01;0.1;0.3666666666666667;0.01;0.33666666666666667;18;32;2179;0.010482572238941359;0.014685635612666361
0.1;0.01;0.1;0.3666666666666667;0.01;0.5;19;44;2180;0.010705426896957212;0.02018348623853211
0.1;0.01;0.1;0.3666666666666667;0.17333333333333334;0.01;20;50;2157;0.010593529883559206;0.023180343069077423
0.1;0.01;0.1;0.3666666666666667;0.17333333333333334;0.17333333333333334;21;36;2176;0.010207415375455156;0.016544117647058824
0.1;0.01;0.1;0.3666666666666667;0.17333333333333334;0.33666666666666667;22;45;2183;0.010387835397734876;0.020613834173156206
0.1;0.01;0.1;0.3666666666666667;0.17333333333333334;0.5;23;35;2166;0.010165936911108012;0.016158818097876268
0.1;0.01;0.1;0.3666666666666667;0.33666666666666667;0.01;24;29;2207;0.010284934498802564;0.013140009062075216
0.1;0.01;0.1;0.3666666666666667;0.33666666666666667;0.17333333333333334;25;30;2196;0.010347944448712;0.01366120218579235
0.1;0.01;0.1;0.3666666666666667;0.33666666666666667;0.33666666666666667;26;41;2168;0.010221525814910556;0.018911439114391145
0.1;0.01;0.1;0.3666666666666667;0.33666666666666667;0.5;27;27;2212;0.010296499388450403;0.012206148282097649
0.1;0.01;0.1;0.3666666666666667;0.5;0.01;28;31;2183;0.01017099956734856;0.014200641319285386
0.1;0.01;0.1;0.3666666666666667;0.5;0.17333333333333334;29;32;2202;0.010140418227574142;0.014532243415077202
0.1;0.01;0.1;0.3666666666666667;0.5;0.33666666666666667;30;40;2170;0.010107713669869454;0.018433179723502304
0.1;0.01;0.1;0.3666666666666667;0.5;0.5;31;45;2169;0.010255086030250599;0.02074688796680498
0.1;0.01;0.1;0.6333333333333333;0.01;0.01;32;35;2213;0.010216495267074818;0.015815634884771803
0.1;0.01;0.1;0.6333333333333333;0.01;0.17333333333333334;33;33;2196;0.010215357795467292;0.015027322404371584
0.1;0.01;0.1;0.6333333333333333;0.01;0.33666666666666667;34;32;2241;0.010204579804135304;0.0142793395805444
0.1;0.01;0.1;0.6333333333333333;0.01;0.5;35;32;2196;0.01023977502112347;0.014571948998178506
0.1;0.01;0.1;0.6333333333333333;0.17333333333333334;0.01;36;31;2186;0.010446727629412728;0.014181152790484904
0.1;0.01;0.1;0.6333333333333333;0.17333333333333334;0.17333333333333334;37;33;2174;0.010482954596476485;0.01517939282428703
0.1;0.01;0.1;0.6333333333333333;0.17333333333333334;0.33666666666666667;38;31;2198;0.010187590798997361;0.014103730664240218
0.1;0.01;0.1;0.6333333333333333;0.17333333333333334;0.5;39;55;2164;0.010625434614110186;0.02541589648798521
0.1;0.01;0.1;0.6333333333333333;0.33666666666666667;0.01;40;36;2197;0.01017934050337994;0.016385980883022302
0.1;0.01;0.1;0.6333333333333333;0.33666666666666667;0.17333333333333334;41;53;2162;0.010350428003337192;0.024514338575393153
0.1;0.01;0.1;0.6333333333333333;0.33666666666666667;0.33666666666666667;42;37;2210;0.010586404692333615;0.0167420814479638
0.1;0.01;0.1;0.6333333333333333;0.33666666666666667;0.5;43;30;2219;0.010411890771252666;0.013519603424966201
0.1;0.01;0.1;0.6333333333333333;0.5;0.01;44;36;2180;0.010306839511861312;0.01651376146788991
0.1;0.01;0.1;0.6333333333333333;0.5;0.17333333333333334;45;46;2190;0.010096369463737095;0.021004566210045664
0.1;0.01;0.1;0.6333333333333333;0.5;0.33666666666666667;46;28;2205;0.010034909964162186;0.012698412698412698
