metro;Run;Aggressor;Person;Stress;aggressor_pct
MANAUS;0;130;2529;0.025805556505129276;0.051403716884143934
MANAUS;1;122;2526;0.025684018737397164;0.04829770387965162
MANAUS;2;124;2579;0.02548936404361543;0.04808065141527724
MANAUS;3;115;2569;0.02592711753926562;0.04476449980537174
MANAUS;4;128;2514;0.02593648685823713;0.05091487669053302
MANAUS;5;112;2576;0.02572371263494098;0.043478260869565216
MANAUS;6;129;2517;0.02583196310569798;0.05125148986889154
MANAUS;7;119;2540;0.02583460848849567;0.046850393700787404
MANAUS;8;114;2528;0.025969697037408482;0.04509493670886076
MANAUS;9;128;2517;0.02582742737970073;0.05085419149781486
MANAUS;10;135;2459;0.025576025326707424;0.05490036600244002
MANAUS;11;131;2528;0.025700965437591716;0.051819620253164556
MANAUS;12;137;2505;0.02582078048566444;0.05469061876247505
MANAUS;13;127;2487;0.025754633151244617;0.051065540812223566
MANAUS;14;116;2516;0.025511383007333573;0.046104928457869634
MANAUS;15;142;2473;0.02591417161679205;0.05742013748483623
MANAUS;16;146;2459;0.02535044569807897;0.05937372915819439
MANAUS;17;127;2516;0.025374759130115714;0.05047694753577107
MANAUS;18;132;2476;0.02546187768074298;0.05331179321486268
MANAUS;19;108;2592;0.025652929253055585;0.041666666666666664
MANAUS;20;116;2479;0.02611081753092037;0.04679306171843485
MANAUS;21;127;2503;0.025403643464409337;0.05073911306432281
MANAUS;22;118;2523;0.02599428393921866;0.04676971858898137
MANAUS;23;120;2546;0.02585758041260468;0.04713275726630008
MANAUS;24;128;2483;0.025752154979784815;0.05155054369714056
MANAUS;25;131;2522;0.02551138015987902;0.05194290245836638
MANAUS;26;155;2441;0.02595131217272432;0.06349856616140925
MANAUS;27;122;2563;0.02572103999297929;0.04760046820132657
MANAUS;28;124;2523;0.02562108602479132;0.049147839873166864
MANAUS;29;108;2562;0.025555795202379945;0.04215456674473068
MANAUS;30;124;2532;0.026051372704411754;0.04897314375987362
MANAUS;31;128;2502;0.025581634285659485;0.051159072741806554
MANAUS;32;138;2492;0.026074137021526868;0.05537720706260032
MANAUS;33;128;2556;0.025784407066180272;0.050078247261345854
MANAUS;34;144;2489;0.025839631290164245;0.05785456006428284
MANAUS;35;123;2492;0.02565515418190527;0.049357945425361156
MANAUS;36;133;2529;0.025620101536781285;0.05258995650454725
MANAUS;37;144;2465;0.02594039589060079;0.05841784989858012
MANAUS;38;123;2557;0.025521253443973657;0.04810324599139617
MANAUS;39;134;2517;0.025688376986292137;0.05323798172427493
MANAUS;40;134;2513;0.02559991128700936;0.053322721846398725
MANAUS;41;124;2500;0.025583200987537174;0.0496
MANAUS;42;150;2481;0.025678223337474583;0.060459492140266025
MANAUS;43;132;2511;0.025650813372632243;0.052568697729988054
MANAUS;44;135;2527;0.025848721278686402;0.053423031262366444
MANAUS;45;137;2527;0.025510531070414906;0.05421448357736446
MANAUS;46;131;2519;0.025599746999565538;0.05200476379515681
MANAUS;47;119;2545;0.025680746748229476;0.04675834970530452
MANAUS;48;127;2513;0.02605477573719621;0.050537206526064464
MANAUS;49;111;2553;0.025639921615406205;0.043478260869565216
MANAUS;50;116;2541;0.025712331052138562;0.045651318378591106
MANAUS;51;119;2534;0.025450056866894943;0.04696132596685083
MANAUS;52;121;2518;0.025605178629093693;0.04805401111993646
MANAUS;53;120;2509;0.025429611611982813;0.047827819848545235
MANAUS;54;132;2514;0.025380741283075634;0.05250596658711217
MANAUS;55;123;2517;0.025799349630510397;0.04886769964243146
MANAUS;56;126;2501;0.025851915138669038;0.05037984806077569
MANAUS;57;124;2522;0.025681142591634076;0.04916732751784298
MANAUS;58;108;2563;0.025509661939867423;0.042138119391338276
MANAUS;59;137;2510;0.02554184184488645;0.05458167330677291
MANAUS;60;124;2521;0.026013795220910116;0.04918683062276874
MANAUS;61;120;2493;0.025970775796463005;0.048134777376654635
MANAUS;62;127;2508;0.025816290199907943;0.05063795853269538
MANAUS;63;140;2515;0.025447704558828693;0.055666003976143144
MANAUS;64;146;2467;0.025356416620085143;0.05918119173084718
