AREAP;attacked;denounce;females;Attacks per female;Denounces per female
5002704005001;47.755;17.1065;373.95;127.85983128458682;45.80129050387496
5002704005002;29.1185;10.4465;229.1845;127.27706940739156;45.634427151082186
5002704005003;18.468;6.5925;151.3815;122.4544569585667;43.70456257263128
5002704005004;25.31;9.0355;200.043;126.82820201434393;45.25687941168277
5002704005005;29.3035;10.5095;231.088;127.07470972269279;45.58602740710712
5002704005006;20.9655;7.4985;161.7825;129.9435536630629;46.48959995759055
5002704005007;27.7135;9.8715;220.5515;125.89275920954785;44.85011070263634
5002704005008;3.331;1.199;21.661;155.7707943456993;56.01302402624221
