AREAP;attacked;denounce;females;Attacks per female;Denounces per female
1100122003001;23.582;8.362;182.668;129.39336904204964;45.87126999227133
1100122003002;27.314;9.794;216.272;126.50049195908606;45.35703147699554
1100122003003;28.422;10.408;224.386;126.89381956601335;46.474439106937965
1100122003004;29.3;10.298;230.046;127.5468446182789;44.841821207462374
1100122003005;46.466;16.672;341.574;136.25359050818577;48.853677802522846
1100122003006;57.818;20.648;452.36;127.96285746727891;45.693157634411364
