pct_change_wage;Run;Denounce;Females;Got attacked;Stress
0.01;0;73;1215;194;0.029081218023373556
0.01;1;83;1233;229;0.03063201812481938
0.01;2;86;1217;223;0.029272898635491675
0.01;3;72;1192;201;0.03039671207023003
0.01;4;72;1171;212;0.030124782844655387
0.01;5;81;1239;215;0.030134956689982208
0.01;6;82;1241;219;0.03032528936836337
0.01;7;68;1257;183;0.02998872505783751
0.01;8;72;1192;229;0.03033841569878336
0.01;9;87;1210;213;0.03103039816999678
0.01;10;74;1191;237;0.029667750342627745
0.01;11;80;1213;192;0.030395860215883416
0.01;12;69;1224;199;0.03114219761752956
0.01;13;63;1185;198;0.030046870554770743
0.01;14;73;1186;220;0.030509757120664293
0.01;15;81;1175;215;0.030346576862985756
0.01;16;88;1213;229;0.030486680868289127
0.01;17;89;1254;215;0.029667322149825422
0.01;18;74;1232;222;0.030977054671708932
0.01;19;78;1251;198;0.03043615360351208
0.01;20;85;1190;212;0.03034041000933817
0.01;21;74;1271;201;0.030020102440573068
0.01;22;81;1194;217;0.02982067337572614
0.01;23;83;1212;204;0.02999901610058567
0.01;24;72;1224;211;0.029139118563301487
0.01;25;68;1198;206;0.029740222684530117
0.01;26;66;1250;202;0.029092318784728826
0.01;27;72;1192;202;0.029343711920365716
0.01;28;81;1240;234;0.030153826257623438
0.01;29;75;1191;207;0.030855634687565053
0.01;30;76;1172;200;0.02922113075250089
0.01;31;80;1189;209;0.0301417345149912
0.01;32;70;1227;201;0.029591663170166326
0.01;33;84;1260;203;0.030200461052098372
0.01;34;92;1267;241;0.030630577260132578
0.01;35;75;1249;206;0.03045729759528542
0.01;36;71;1232;203;0.029819493851222297
0.01;37;87;1281;232;0.03046734157880517
0.01;38;74;1220;207;0.03079281944240186
0.01;39;69;1216;192;0.03038732704385239
0.01;40;59;1193;191;0.03010457040941696
0.01;41;79;1196;241;0.030752238477475685
0.01;42;72;1268;201;0.030769285694695683
0.01;43;70;1182;185;0.029682564319634966
0.01;44;65;1221;195;0.029928797201400063
0.01;45;98;1203;240;0.031354855394156535
0.01;46;81;1235;229;0.030906744569602577
0.01;47;54;1206;179;0.030441648783042792
0.01;48;74;1195;225;0.03017898409143079
0.01;49;74;1234;186;0.030146994427202554
0.01;50;76;1212;203;0.030572504801742287
0.01;51;71;1155;224;0.0304896835484325
0.01;52;83;1256;208;0.029717048111087503
0.01;53;66;1243;183;0.02970334562568373
0.01;54;80;1192;212;0.03015721868110829
0.01;55;77;1202;242;0.031598788025454294
0.01;56;77;1206;224;0.030746655097146258
0.01;57;68;1174;190;0.029918896555638938
0.01;58;78;1194;234;0.030223932995261504
0.01;59;74;1167;238;0.0293696199198486
0.01;60;70;1208;208;0.03003861268052915
0.01;61;74;1174;207;0.030640590130660058
0.01;62;76;1227;203;0.030419252501270408
0.01;63;83;1230;202;0.029612049922761643
0.01;64;83;1237;202;0.02968888090453623
0.01;65;75;1190;198;0.029886238389304626
0.01;66;82;1219;219;0.030025259889096795
0.01;67;88;1194;225;0.030836961462312573
0.01;68;73;1237;207;0.02848494200907431
0.01;69;82;1262;198;0.029376202867505526
0.01;70;75;1223;213;0.029674561280858443
0.01;71;83;1212;215;0.03080205421228339
0.01;72;61;1195;186;0.030092031842605227
0.01;73;71;1214;203;0.03113451555613469
0.01;74;75;1246;205;0.029712260898936287
0.01;75;95;1282;237;0.030047974349702782
0.01;76;82;1242;213;0.030150949584864195
0.01;77;69;1249;185;0.03019264206333682
0.01;78;79;1195;210;0.030697580616381618
0.01;79;78;1205;204;0.02920328106586926
0.01;80;98;1240;234;0.030540355405238227
0.01;81;71;1163;199;0.03029589168104878
0.01;82;72;1234;200;0.029669769054951594
0.01;83;82;1238;227;0.02983200568704684
0.01;84;64;1184;186;0.029395954278754646
0.01;85;78;1172;201;0.03145798630654452
0.01;86;96;1223;233;0.030407160219236205
0.01;87;89;1263;238;0.030409321876901166
0.01;88;81;1255;219;0.030136125302035053
0.01;89;87;1225;207;0.03039364051862905
0.01;90;62;1231;185;0.030628394891321884
0.01;91;84;1240;244;0.030451767642638756
0.01;92;77;1219;219;0.029812232969716083
0.01;93;81;1262;213;0.029900672885426128
0.01;94;82;1192;214;0.029484844504228384
0.01;95;72;1242;188;0.029441813487554553
0.01;96;81;1244;232;0.03038670252345212
0.01;97;64;1231;207;0.031617598579665014
0.01;98;65;1209;223;0.029468597009311957
0.01;99;76;1211;173;0.02997444413711904
0.01;100;69;1234;178;0.030253259861590623
0.01;101;72;1205;201;0.030370322486879313
0.01;102;73;1232;199;0.03219023368711028
0.01;103;75;1160;224;0.029923357729439038
0.01;104;76;1240;203;0.030454668072410283
0.01;105;63;1227;186;0.02913100258123676
0.01;106;74;1245;207;0.030138881191529653
0.01;107;82;1243;226;0.029942383881819055
0.01;108;62;1253;191;0.02999550605985323
0.01;109;79;1238;203;0.03114368494627249
0.01;110;67;1220;190;0.030763522463971894
0.01;111;81;1238;229;0.03011737940078121
0.01;112;77;1201;218;0.030499238056990754
0.01;113;71;1232;218;0.030154909392929443
0.01;114;58;1228;184;0.028900477002188292
0.01;115;76;1236;197;0.029581135133349784
0.01;116;82;1273;231;0.02938490672614527
0.01;117;73;1207;199;0.031151007733968686
0.01;118;84;1218;212;0.030229695238993423
0.01;119;80;1242;209;0.02931415446311571
0.01;120;67;1192;217;0.02993715954081579
0.01;121;82;1237;231;0.030568008931472133
0.01;122;67;1180;219;0.030945765237105804
0.01;123;100;1162;249;0.030304610815693182
0.01;124;63;1252;215;0.030222150860866548
0.01;125;83;1247;209;0.031191881568646544
0.01;126;63;1196;180;0.029770165916732705
0.01;127;74;1218;226;0.030388343822791163
0.01;128;81;1228;223;0.02998073446395472
0.01;129;59;1239;222;0.030219539699421583
0.01;130;84;1252;211;0.030030171120340895
0.01;131;74;1215;213;0.029916195126289173
0.01;132;84;1251;223;0.03087849181398452
0.01;133;73;1150;229;0.029731065880441995
0.01;134;85;1246;237;0.02979669977117805
0.01;135;78;1277;217;0.028986393233582246
0.01;136;76;1199;230;0.031150611873025397
0.01;137;89;1187;212;0.02990397744933308
0.01;138;95;1238;229;0.029430863183925952
0.01;139;77;1272;212;0.029913556767820936
0.01;140;93;1240;211;0.030319079620891597
0.01;141;61;1207;165;0.02911815936505315
0.01;142;56;1195;176;0.03169321015798468
0.01;143;80;1207;240;0.03007088785387624
0.01;144;65;1228;203;0.03058405435602894
0.01;145;56;1199;191;0.030970738794318466
0.01;146;68;1175;191;0.029567600136964082
0.01;147;62;1188;186;0.02936131014860699
0.01;148;82;1205;228;0.02921868794987541
0.01;149;68;1264;201;0.029575061207018045
0.01;150;84;1214;249;0.030139465592282904
0.01;151;85;1232;234;0.030719970600825923
0.01;152;70;1277;215;0.029471258509860883
0.01;153;59;1219;218;0.03175460105280162
0.01;154;88;1240;220;0.030564833214767214
0.01;155;61;1148;192;0.029269120061581205
0.01;156;77;1228;206;0.030161848162166525
0.01;157;75;1198;216;0.029919495177619247
0.01;158;81;1196;200;0.03070647748764965
0.01;159;65;1265;198;0.030363934021176986
0.01;160;72;1193;193;0.029447823289290475
0.01;161;59;1181;204;0.030394613394776632
0.01;162;71;1219;196;0.029897358669610987
0.01;163;68;1206;177;0.029869117329471267
0.01;164;73;1211;222;0.02917915221287433
0.01;165;80;1233;202;0.02999394647924321
0.01;166;82;1175;212;0.02953491679803536
0.01;167;89;1235;236;0.02971135549626999
0.01;168;80;1229;216;0.03091741344375501
0.01;169;80;1218;189;0.029854208011670453
0.01;170;96;1211;212;0.028739738463605287
0.01;171;82;1277;213;0.03048537719857266
0.01;172;73;1200;191;0.03036103345951203
0.01;173;82;1263;233;0.03090071191100936
0.01;174;83;1239;199;0.030220456201926895
0.01;175;61;1259;194;0.02978826461502939
0.01;176;75;1244;215;0.029135588426857317
0.01;177;81;1189;208;0.03034604652343283
0.01;178;71;1226;222;0.029475489676599596
0.01;179;97;1235;231;0.028998959242413986
0.01;180;73;1244;221;0.02901886209933294
0.01;181;86;1179;199;0.03013916509619024
0.01;182;68;1237;195;0.03030342986158792
0.01;183;64;1256;204;0.029962892711695412
0.01;184;70;1181;199;0.02999202357285496
0.01;185;71;1235;199;0.02937632351412427
0.01;186;64;1232;215;0.030369045955571765
0.01;187;81;1201;224;0.029956993368040693
0.01;188;78;1284;203;0.030206647072831164
0.01;189;82;1233;221;0.030515552949894807
0.01;190;66;1287;207;0.03098998757530776
0.01;191;68;1211;217;0.029529570174906435
0.01;192;84;1179;200;0.028557328485451127
0.01;193;73;1186;210;0.03030649453278378
0.01;194;69;1213;213;0.030735190810102436
0.01;195;66;1171;196;0.029487149316825546
0.01;196;79;1224;206;0.03019915608394027
0.01;197;72;1229;205;0.02916813017243066
0.01;198;77;1220;212;0.02969734381044566
0.01;199;85;1204;220;0.02996278102875529
0.07999999999999999;200;83;1180;225;0.029402193887261893
0.07999999999999999;201;84;1205;215;0.030744812798046636
0.07999999999999999;202;68;1239;208;0.030022467304677388
0.07999999999999999;203;82;1200;200;0.029419317665026767
0.07999999999999999;204;68;1198;192;0.030761306192041017
0.07999999999999999;205;66;1234;205;0.03110892735751839
0.07999999999999999;206;85;1245;211;0.030157032318298378
0.07999999999999999;207;78;1239;214;0.030287140847807703
0.07999999999999999;208;73;1269;199;0.030500782671020975
0.07999999999999999;209;67;1223;197;0.030839702376352546
0.07999999999999999;210;77;1219;212;0.03005921491282016
0.07999999999999999;211;82;1215;240;0.030430622038876812
0.07999999999999999;212;72;1255;216;0.030688986240315845
0.07999999999999999;213;80;1170;252;0.03073202059085465
0.07999999999999999;214;78;1181;187;0.030499020770645875
0.07999999999999999;215;72;1208;194;0.029870893266232018
0.07999999999999999;216;83;1242;230;0.030613194860699963
0.07999999999999999;217;70;1191;206;0.029980559496577252
0.07999999999999999;218;68;1219;200;0.030393567748108728
0.07999999999999999;219;67;1253;209;0.031512337393083886
0.07999999999999999;220;72;1198;212;0.03079294629932939
0.07999999999999999;221;59;1240;213;0.030904549497890732
0.07999999999999999;222;74;1226;227;0.029911935000211463
0.07999999999999999;223;78;1244;228;0.03100914083325901
0.07999999999999999;224;96;1280;220;0.02972162862871919
0.07999999999999999;225;92;1200;240;0.030948843444468174
0.07999999999999999;226;92;1224;220;0.029478858096701966
0.07999999999999999;227;87;1205;216;0.029881899150867013
0.07999999999999999;228;91;1241;229;0.029690585855448974
0.07999999999999999;229;80;1199;207;0.02961302362670213
0.07999999999999999;230;82;1181;203;0.03011985301258882
0.07999999999999999;231;93;1223;213;0.030577773260283825
0.07999999999999999;232;71;1186;206;0.030773992174339387
0.07999999999999999;233;75;1227;195;0.030572917087145806
0.07999999999999999;234;84;1252;233;0.029937576849530058
0.07999999999999999;235;69;1183;223;0.030593183497252947
0.07999999999999999;236;91;1187;213;0.02941616430606561
