is_working_pct;Run;Denounce;Females;Got attacked;Stress
0.1;0;78;1196;216;0.03116122133395809
0.1;1;63;1185;186;0.031099560111118547
0.1;2;63;1248;184;0.03003997090847595
0.1;3;70;1205;213;0.03024382330742816
0.1;4;80;1207;214;0.028311374703422654
0.1;5;80;1193;180;0.02995227762111628
0.1;6;61;1199;180;0.029858990450035944
0.1;7;77;1258;217;0.02948448255215738
0.1;8;74;1253;198;0.029737703027845102
0.1;9;65;1234;213;0.029445083855692604
0.1;10;76;1186;193;0.03021223980490262
0.1;11;78;1193;225;0.030097986406743098
0.1;12;71;1239;207;0.03067102996808681
0.1;13;60;1238;187;0.029568005153698743
0.1;14;83;1205;231;0.03032415561622906
0.1;15;59;1212;192;0.030153429120721324
0.1;16;67;1211;206;0.030041167199574836
0.1;17;75;1223;180;0.029851729735373304
0.1;18;58;1196;185;0.03061202982159983
0.1;19;81;1223;225;0.02986511541716185
0.1;20;70;1229;216;0.030185500931634475
0.1;21;83;1197;217;0.030176608271432512
0.1;22;69;1223;203;0.02968793750279215
0.1;23;78;1242;234;0.02965419564805792
0.1;24;58;1213;152;0.030652684716509733
0.1;25;72;1227;208;0.030050551509677344
0.1;26;73;1210;210;0.03051749305199294
0.1;27;78;1197;226;0.02976684761853484
0.1;28;70;1239;194;0.029739755235622025
0.1;29;80;1207;197;0.030155552257946628
0.1;30;69;1238;210;0.030775333978567177
0.1;31;72;1224;200;0.030129965728302698
0.1;32;60;1264;195;0.02864951284891716
0.1;33;60;1194;184;0.029744351601192605
0.1;34;73;1189;186;0.03141302392203325
0.1;35;61;1176;192;0.030463212557453948
0.1;36;69;1203;198;0.030902441691949112
0.1;37;74;1180;201;0.03048873644806174
0.1;38;68;1234;183;0.03008046463123585
0.1;39;76;1226;203;0.028980204281557186
0.1;40;69;1217;207;0.029907818537414733
0.1;41;61;1168;200;0.030973620619849932
0.1;42;71;1214;221;0.029651136638682983
0.1;43;67;1227;201;0.02890837669628621
0.1;44;71;1225;204;0.029495690799573863
0.1;45;64;1212;198;0.02990473018298459
0.1;46;74;1178;179;0.0299446295366743
0.1;47;71;1212;209;0.03061599405430752
0.1;48;73;1238;182;0.030003194957200705
0.1;49;77;1216;202;0.030073282559323074
0.1;50;89;1219;215;0.030270139202165664
0.1;51;73;1223;206;0.030170025746643576
0.1;52;80;1182;208;0.030697452495052915
0.1;53;74;1214;181;0.03022070036074117
0.1;54;67;1268;191;0.030703350500872393
0.1;55;82;1240;215;0.03017579327004539
0.1;56;72;1224;218;0.02916663052195773
0.1;57;69;1198;209;0.02982314263312387
0.1;58;73;1275;203;0.029944079242620148
0.1;59;82;1256;204;0.030315373685514947
0.1;60;79;1271;198;0.029665530832484972
0.1;61;64;1250;201;0.03071681988565028
0.1;62;90;1215;205;0.029674838732847715
0.1;63;68;1197;177;0.029368797187594733
0.1;64;65;1202;185;0.031467952813555515
0.1;65;90;1204;237;0.02996827854656913
0.1;66;71;1266;199;0.0293864627189786
0.1;67;82;1196;245;0.02929271168831534
0.1;68;76;1208;205;0.030110576067507996
0.1;69;59;1202;177;0.030332878943604896
0.1;70;71;1287;206;0.030400792810300507
0.1;71;65;1197;201;0.029684169158344625
0.1;72;71;1215;211;0.02938407310710386
0.1;73;72;1210;203;0.030845125211435082
0.1;74;65;1225;208;0.02991734380014213
0.1;75;64;1225;183;0.030312048537673813
0.1;76;74;1248;204;0.030563026579204167
0.1;77;82;1250;199;0.029565627309292058
0.1;78;78;1218;192;0.030307308364365147
0.1;79;79;1205;192;0.02913578298322927
0.1;80;79;1205;200;0.02989869950514663
0.1;81;62;1205;196;0.029985441154424648
0.1;82;71;1202;236;0.030568017449858893
0.1;83;78;1226;201;0.03096125870150029
0.1;84;63;1273;175;0.029755048381505562
0.1;85;69;1219;195;0.030207914689879
0.1;86;75;1219;229;0.02870012208463625
0.1;87;72;1237;218;0.03173746547265182
0.1;88;76;1201;208;0.029511161004869363
0.1;89;82;1195;204;0.030429851435954558
0.1;90;78;1223;218;0.03047730798246433
0.1;91;74;1197;212;0.029945656637270935
0.1;92;56;1249;203;0.030155558112421738
0.1;93;55;1203;173;0.02964747379169688
0.1;94;95;1230;233;0.03011917268849804
0.1;95;74;1184;195;0.029676109190588128
0.1;96;70;1194;207;0.03010829131791625
0.1;97;73;1244;199;0.029034767986287582
0.1;98;68;1165;205;0.02892274619028916
0.1;99;83;1237;237;0.030804476088638816
0.1;100;67;1253;209;0.030259998124762426
0.1;101;70;1213;212;0.029677680531735053
0.1;102;81;1192;207;0.03050746120956506
0.1;103;80;1242;224;0.030130338943156275
0.1;104;61;1230;199;0.030738765465611995
0.1;105;56;1240;207;0.029238574560081863
0.1;106;67;1232;189;0.030462022139584374
0.1;107;75;1208;181;0.029590784173016953
0.1;108;74;1204;194;0.030348963972038037
0.1;109;72;1211;229;0.030584242959000096
0.1;110;83;1248;222;0.02968993552725345
0.1;111;58;1218;177;0.028921150839412345
0.1;112;74;1242;183;0.030983579524550383
0.1;113;80;1224;226;0.031185969835634562
0.1;114;62;1187;216;0.029938086358202467
0.1;115;79;1195;198;0.02964855436287998
0.1;116;81;1270;219;0.029985475698887445
0.1;117;78;1212;237;0.030041510783242055
0.1;118;66;1230;219;0.03132112690803111
0.1;119;64;1190;195;0.029339756743558546
0.1;120;65;1258;199;0.030105054726528427
0.1;121;81;1219;216;0.029710919734190898
0.1;122;89;1232;226;0.03083496958024734
