AREAP;attacked;denounce;females;Attacks per female;Denounces per female
5200050001001;0.6363636363636364;0.23030303030303031;5.608080808080808;129.97934725207443;49.02111356656809
5201405005001;2.762;0.906;23.29;120.75371901277157;39.15633739257617
5201405005002;3.156;1.108;23.122;138.87573488587404;49.244536586342086
5201405005003;2.934;1.126;22.934;129.35343302393133;50.37724169731848
5201405005004;3.476;1.182;28.87;121.04563223781945;41.60728797535644
5201405005005;3.092;1.084;24.716;126.50853190604192;44.34144875890004
5201405005006;4.092;1.502;32.064;129.34316292892746;47.26523221868357
5201405005007;4.116;1.48;33.562;124.12715413998957;44.50812140225839
5201405005008;3.48;1.236;27.536;128.89286737335414;45.973235699924906
5201405005009;3.018;1.078;23.982;128.1231065992009;46.10403713547432
5201405005010;3.018;1.138;24.684;124.20678476618971;46.085548110201614
5201405005011;4.056;1.47;32.68;125.88983404884867;45.504624802381976
5201405005012;5.358;1.956;41.376;130.69747718288585;47.667200971040266
5201405005013;3.148;1.138;25.498;124.38927202389806;44.86113466052752
5208707005001;4.304;1.496;33.748;128.74598450510436;45.100741935560485
5208707005002;4.9;1.686;37.314;132.5248346521531;45.799889852985
5208707005003;2.618;1.012;20.166;132.8840446564966;50.77765449943307
5208707005004;2.524;0.908;20.348;126.75885576682467;46.415728352284205
5208707005005;2.574;0.974;21.416;124.13152101390287;46.74602377253594
5208707005006;3.524;1.308;30.062;119.60187557660547;44.35244431447045
5208707005007;3.268;1.206;25.922;128.91992910317978;47.587902670394655
5208707005008;2.83;1.058;23.27;125.31503356934344;46.59065245454828
5208707005009;2.988;1.044;24.606;124.29713300730931;43.26480703021214
5208707005010;3.042;1.038;23.728;131.060954682267;44.819794889956285
5208707005011;3.206;1.184;24.566;132.8082981692816;49.05350720625457
5208707005012;2.904;1.024;21.962;135.55734562176917;47.5195755452432
5208707005013;2.804;0.916;22.902;124.74083516360864;41.153068965913214
5208707005014;3.218;1.174;23.716;138.27300761535983;50.45281522098677
5208707005015;3.244;1.112;24.504;134.86297894652793;46.32982844747094
5208707005016;2.948;1.066;23.108;130.15136736440667;47.48912426281097
5208707005017;3.816;1.418;30.542;126.42758288149847;47.05731699351543
5208707005018;3.846;1.37;28.768;135.8226451862623;48.42924341923412
5208707005019;3.132;1.08;24.79;129.18446271689925;44.650159362397154
5208707005020;3.072;1.068;24.726;126.13943589365913;43.95345727049003
5208707005021;2.994;1.05;24.324;125.23071436270182;43.58206826501201
5208707005022;2.854;1.05;23.324;124.94068543457885;46.21358485797656
5208707005023;2.916;0.994;22.204;134.43485507058335;45.45051947642427
5208707005024;2.958;1.014;22.754;132.21723842152525;44.64194452668767
5208707005025;3.114;1.084;22.72;138.68215568523593;49.25380499437141
5208707005026;3.39;1.23;26.656;130.51953671301212;47.29424058750922
5208707005027;2.978;1.082;24.976;120.53618258506876;44.03804526441966
5208707005028;3.198;1.138;27.052;119.90828260254015;43.053116268700215
5208707005029;2.624;0.88;23.112;116.52604178134078;38.77389889229978
5208707005030;2.854;0.986;22.984;127.27297993765772;44.15393273688987
5208707005031;2.776;0.982;23.34;119.6376039281006;41.931428076572615
5208707005032;2.854;0.992;22.316;132.177259204971;45.87549198406867
5208707005033;3.334;1.128;26.506;127.52172513882222;42.98997366979824
5208707005034;3.572;1.294;29.91;121.90647959457742;43.70641989640244
5208707005035;4.318;1.564;32.648;133.50582245359487;48.20054567562898
5208707005036;2.408;0.888;21.706;114.65378789246162;42.808663727038905
5208707005037;2.646;0.866;23.736;113.91586523268501;37.3336886994392
5208707005038;2.67;0.99;21.886;123.58748131622418;45.77269196362055
5208707005039;2.282;0.824;18.87;123.7583084319284;44.880260602532935
5208707005040;2.526;0.912;21.874;118.48262678040098;42.761138564883076
5208707005041;2.882;1.04;25.798;114.25546959373534;41.1757284351212
5208707005042;3.798;1.332;30.022;128.28010167450722;45.60766194764994
5208707005043;3.006;1.17;26.15;117.20401963218197;45.37117510190832
5208806003001;1.608;0.558;11.364;147.6418055221427;51.149390882595185
5208806003002;1.912;0.704;14.94;133.44953442854424;48.58257465676358
5214507001001;2.482;0.858;19.534;129.0517471123365;44.6788956899977
5220454003001;1.568;0.636;12.152;132.1299596344488;53.90109610891341
5220454003002;2.674;0.94;21.122;129.8032620675157;46.03038497268332
5220454003003;4.29;1.504;33.208;131.12088237030292;46.00798492250472
5221403003001;1.596;0.574;11.872;140.46853338103838;51.22138377319423
5221403003002;1.582;0.584;12.216;135.33297233382365;49.90493308720861
5221403003003;1.508;0.528;12.166;128.26812123205306;46.176483432288386
5221403003004;1.784;0.59;13.382;137.47618383403886;45.16749636074578
5221403003005;4.416;1.522;33.632;133.25580920293618;45.88115541574665
