Denounce;Got attacked;Females;Stress;run
0;0;1199;0.0;0
0;21;1199;0.0;0
0;35;1199;0.030518933721930368;0
0;60;1199;0.030510395851724718;0
0;85;1199;0.030478525762445564;0
0;111;1199;0.03048126942367315;0
0;128;1199;0.03051913692537799;0
0;140;1199;0.030496673930814757;0
0;160;1199;0.030493631876880714;0
0;184;1199;0.03051177529283663;0
0;199;1199;0.03046039596931634;0
0;0;1172;0.0;1
0;21;1172;0.0;1
0;34;1172;0.03030271742111852;1
0;50;1172;0.03029834854403137;1
0;71;1172;0.030319162083980476;1
0;93;1172;0.030286398975260927;1
0;110;1172;0.030265101260593254;1
0;136;1172;0.03028033493311081;1
0;167;1172;0.030250412758242806;1
0;189;1172;0.03028063008055431;1
0;206;1172;0.030256559403156028;1
0;0;1216;0.0;2
0;16;1216;0.0;2
0;41;1216;0.03034281182073777;2
0;63;1216;0.030355005034004914;2
0;87;1216;0.030348521019388158;2
0;103;1216;0.030339662077584102;2
0;120;1216;0.030317184062016594;2
0;141;1216;0.030363231789379934;2
0;167;1216;0.0303387376725313;2
0;204;1216;0.030374560946655988;2
0;228;1216;0.030324030703966325;2
0;0;1268;0.0;3
0;21;1268;0.0;3
0;41;1268;0.030201594604014934;3
0;70;1268;0.03017273924247629;3
0;96;1268;0.030152173444152844;3
0;117;1268;0.03017114594598225;3
0;132;1268;0.030158913035721383;3
0;157;1268;0.03014613531328521;3
0;187;1268;0.03012252351729804;3
0;213;1268;0.030140483543008908;3
0;242;1268;0.030113573340247224;3
0;0;1224;0.0;4
0;17;1224;0.0;4
0;40;1224;0.03069862999573915;4
0;66;1224;0.03065476079672399;4
0;86;1224;0.030751064391744805;4
0;112;1224;0.030749879157997685;4
0;143;1224;0.030739536511225247;4
0;164;1224;0.03070094116426956;4
0;180;1224;0.03072137550433141;4
0;201;1224;0.030683769133908665;4
0;223;1224;0.03067282934746507;4
0;0;1212;0.0;5
0;17;1212;0.0;5
0;36;1212;0.030072862754558102;5
0;59;1212;0.030056696868173128;5
0;78;1212;0.030042280592585433;5
0;106;1212;0.030058444898377553;5
0;123;1212;0.030045786035241946;5
0;139;1212;0.030047531782226543;5
0;159;1212;0.0300692606634602;5
0;183;1212;0.030059336725070638;5
0;203;1212;0.030043404980596884;5
0;0;1174;0.0;6
0;26;1174;0.0;6
0;44;1174;0.031253963779590783;6
0;63;1174;0.031185490105440302;6
0;88;1174;0.031202173512232804;6
0;107;1174;0.03125531271633077;6
0;126;1174;0.03121345548221739;6
0;150;1174;0.03121493698094649;6
0;162;1174;0.03120417252420919;6
0;190;1174;0.031212693045380983;6
0;211;1174;0.031216142152644708;6
0;0;1221;0.0;7
0;23;1221;0.0;7
0;50;1221;0.031499657279170735;7
0;72;1221;0.03144666554622026;7
0;95;1221;0.03151477403572121;7
0;111;1221;0.031510452956446174;7
0;136;1221;0.031475888277711986;7
0;157;1221;0.03151127559101766;7
0;176;1221;0.03153051171544298;7
0;195;1221;0.03145347351117912;7
0;219;1221;0.0314747421964879;7
0;0;1197;0.0;8
0;19;1197;0.0;8
0;41;1197;0.031199142002841615;8
0;59;1197;0.03122761524356647;8
0;79;1197;0.031196423569939333;8
0;108;1197;0.031177975743418324;8
0;138;1197;0.031211994838994114;8
0;160;1197;0.0311978906050872;8
0;179;1197;0.0311582232919517;8
0;194;1197;0.03118862584402557;8
0;211;1197;0.03121138826763061;8
0;0;1186;0.0;9
0;20;1186;0.0;9
0;46;1186;0.030639289390593863;9
0;65;1186;0.030660692775462604;9
0;88;1186;0.030641704658286233;9
0;114;1186;0.030635643072416487;9
0;133;1186;0.030633988614075947;9
0;156;1186;0.03061962529079274;9
0;173;1186;0.03065345347787228;9
0;195;1186;0.030628661897573684;9
0;211;1186;0.03060022728841106;9
0;0;1246;0.0;10
0;27;1246;0.0;10
0;53;1246;0.030366982177856213;10
0;83;1246;0.03033026905140046;10
0;113;1246;0.03034143231031941;10
0;142;1246;0.030314334278968725;10
0;164;1246;0.0303733392856745;10
0;190;1246;0.03033726862961845;10
0;220;1246;0.03034811075914269;10
0;240;1246;0.030329684775163047;10
0;268;1246;0.030393095002963076;10
0;0;1222;0.0;11
0;24;1222;0.0;11
0;42;1222;0.031641111852792;11
0;68;1222;0.03158097707854111;11
0;88;1222;0.03161541440283576;11
0;108;1222;0.031567139784273446;11
0;131;1222;0.031613546755048696;11
0;163;1222;0.03161371866075845;11
0;180;1222;0.03158024047639848;11
0;206;1222;0.031546884454838164;11
0;230;1222;0.03161542443790143;11
0;0;1235;0.0;12
0;23;1235;0.0;12
0;44;1235;0.030082595043080588;12
0;66;1235;0.030068814626905124;12
0;90;1235;0.03003648743581088;12
0;109;1235;0.030027934456765572;12
0;141;1235;0.03004078546014958;12
0;161;1235;0.030002277745577618;12
0;175;1235;0.030054274032872842;12
0;191;1235;0.030006093260877588;12
0;212;1235;0.030038066128433804;12
0;0;1230;0.0;13
0;22;1230;0.0;13
0;42;1230;0.03111693588864271;13
0;69;1230;0.031139724577091927;13
0;86;1230;0.03106661241667198;13
0;106;1230;0.031090884057863147;13
0;135;1230;0.031050170626183614;13
0;155;1230;0.03110253597346289;13
0;177;1230;0.031045994919608477;13
0;198;1230;0.031063594490059573;13
0;219;1230;0.031080325539190393;13
0;0;1221;0.0;14
0;22;1221;0.0;14
0;45;1221;0.029986315904884812;14
0;69;1221;0.029985347718528215;14
0;90;1221;0.029920818523591314;14
0;105;1221;0.029904536757942943;14
0;127;1221;0.0299369419524043;14
0;144;1221;0.029942055548773414;14
0;164;1221;0.029958436040568352;14
0;193;1221;0.02999795642476327;14
0;210;1221;0.0299582004066756;14
0;0;1249;0.0;15
0;27;1249;0.0;15
0;54;1249;0.030143150507656934;15
0;73;1249;0.030138032650296364;15
0;99;1249;0.03013026933992474;15
0;122;1249;0.030100741017581777;15
0;145;1249;0.030146473788078266;15
0;165;1249;0.030127944749608813;15
0;182;1249;0.030140916502716514;15
0;199;1249;0.030177701937960377;15
0;219;1249;0.03012578467405419;15
0;0;1239;0.0;16
0;21;1239;0.0;16
0;44;1239;0.030406801149141197;16
0;70;1239;0.030389340685515492;16
0;89;1239;0.030391040011745345;16
0;117;1239;0.030383310100776825;16
0;142;1239;0.030403835462252175;16
0;163;1239;0.030412082941582336;16
0;186;1239;0.0303681369404377;16
0;216;1239;0.030375532874745415;16
0;246;1239;0.030367173796402164;16
0;0;1209;0.0;17
0;20;1209;0.0;17
0;39;1209;0.031015941330548094;17
0;58;1209;0.031097452325978464;17
0;80;1209;0.031044774381003674;17
0;99;1209;0.031007842327222448;17
0;123;1209;0.031012855157514146;17
0;143;1209;0.031015757031660166;17
0;163;1209;0.030987907118039292;17
0;181;1209;0.03104084563625042;17
0;205;1209;0.03102864386734021;17
0;0;1241;0.0;18
0;28;1241;0.0;18
0;48;1241;0.03094500680855088;18
0;73;1241;0.030969591165159797;18
0;106;1241;0.030957999790359084;18
0;142;1241;0.03098285811540221;18
0;163;1241;0.03095038044721907;18
0;187;1241;0.03092238720534461;18
0;202;1241;0.030949795602842122;18
0;220;1241;0.030921902455951826;18
0;237;1241;0.030966754295940323;18
0;0;1220;0.0;19
0;28;1220;0.0;19
0;47;1220;0.030288456139656673;19
0;67;1220;0.03026414015361557;19
0;85;1220;0.030248303024752145;19
0;106;1220;0.03026920309448779;19
0;127;1220;0.030250213427508367;19
0;153;1220;0.03028346366779369;19
0;179;1220;0.030214363902342195;19
0;203;1220;0.03019437762437097;19
0;226;1220;0.030217482653739;19
0;0;1247;0.0;20
0;22;1247;0.0;20
0;45;1247;0.03058549501216243;20
0;65;1247;0.03056187180567765;20
0;81;1247;0.030556704530403742;20
0;100;1247;0.030577848897124428;20
0;117;1247;0.030558414610733577;20
0;138;1247;0.03059660032876292;20
0;154;1247;0.030548242598560878;20
0;177;1247;0.03053567337119948;20
0;192;1247;0.030568991055374254;20
0;0;1236;0.0;21
0;20;1236;0.0;21
0;38;1236;0.030095630497371073;21
0;54;1236;0.030118335662594933;21
0;70;1236;0.03011923751199266;21
0;92;1236;0.030147275388239157;21
0;114;1236;0.030122400457721306;21
0;145;1236;0.030139340541871718;21
0;171;1236;0.03010662459681672;21
0;192;1236;0.03013722796445529;21
0;215;1236;0.030153659069371352;21
0;0;1224;0.0;22
0;23;1224;0.0;22
0;45;1224;0.03031114666533134;22
0;72;1224;0.03033838512981027;22
0;106;1224;0.030311100280180987;22
0;121;1224;0.03027533247186871;22
0;150;1224;0.03030002113291814;22
0;169;1224;0.030287191585118677;22
0;191;1224;0.030297162240456126;22
0;211;1224;0.030271390973747193;22
0;236;1224;0.030283124852532806;22
0;0;1232;0.0;23
0;24;1232;0.0;23
0;51;1232;0.03115896558427429;23
0;74;1232;0.03121632460450259;23
0;104;1232;0.03121237375576039;23
0;125;1232;0.03118223593118928;23
0;148;1232;0.03118581919460959;23
0;176;1232;0.031162797775409767;23
0;201;1232;0.0311665827743072;23
0;229;1232;0.031191607528471017;23
0;251;1232;0.03118282759613186;23
0;0;1205;0.0;24
0;26;1205;0.0;24
0;47;1205;0.030781701311084785;24
0;70;1205;0.030795707443743763;24
0;96;1205;0.03071446698056936;24
0;121;1205;0.0307317681384402;24
0;147;1205;0.030724447667700442;24
0;173;1205;0.030760331832478373;24
0;204;1205;0.03070991389203149;24
0;224;1205;0.030750533936037015;24
0;239;1205;0.030751348972972138;24
0;0;1235;0.0;25
0;25;1235;0.0;25
0;41;1235;0.030925845789568866;25
0;70;1235;0.03091565364422777;25
0;99;1235;0.030902009470632742;25
0;134;1235;0.030873086787349284;25
0;161;1235;0.030871279405507452;25
0;186;1235;0.03086619351194065;25
0;211;1235;0.030890664782099272;25
0;238;1235;0.030891271647200003;25
0;259;1235;0.030871782488570775;25
0;0;1197;0.0;26
0;20;1197;0.0;26
0;38;1197;0.029683420935835838;26
0;59;1197;0.02971801055952589;26
0;80;1197;0.02966808024115084;26
0;103;1197;0.02964015483923761;26
0;121;1197;0.029638586289788556;26
0;147;1197;0.029645218712742002;26
0;164;1197;0.029576735116713583;26
0;181;1197;0.029616725839449222;26
0;204;1197;0.029639751473593944;26
0;0;1179;0.0;27
0;23;1179;0.0;27
0;35;1179;0.03006203241281024;27
0;63;1179;0.03004172614044853;27
0;90;1179;0.030011284811133843;27
0;110;1179;0.029987196014285664;27
0;137;1179;0.030041867855828786;27
0;162;1179;0.03003408604132359;27
0;187;1179;0.029995235594007186;27
0;200;1179;0.03000088507071936;27
0;226;1179;0.029948732780548774;27
0;0;1203;0.0;28
0;35;1203;0.0;28
0;51;1203;0.030310367169568656;28
0;71;1203;0.030347675248513385;28
0;95;1203;0.030318588126990505;28
0;114;1203;0.0303190036674753;28
0;130;1203;0.030311172865568402;28
0;152;1203;0.030290018163022292;28
0;177;1203;0.030346528508689484;28
0;203;1203;0.030346576566008723;28
0;225;1203;0.03032406012809202;28
0;0;1206;0.0;29
0;26;1206;0.0;29
0;39;1206;0.030616237373627106;29
0;60;1206;0.03059513571711182;29
0;83;1206;0.030589764659657334;29
0;103;1206;0.030562923016505268;29
0;131;1206;0.0305687532114213;29
0;147;1206;0.030605920871660558;29
0;164;1206;0.03056640730036867;29
0;181;1206;0.030579505003505324;29
0;203;1206;0.030565090332204205;29
0;0;1183;0.0;30
0;23;1183;0.0;30
0;38;1183;0.030934429561172698;30
0;55;1183;0.030908851370531638;30
0;77;1183;0.030921961131245665;30
0;96;1183;0.030872394816992926;30
0;115;1183;0.030918361362832724;30
0;130;1183;0.03087450589241105;30
0;154;1183;0.030885879530200295;30
0;170;1183;0.03090770667232256;30
0;192;1183;0.030900872724497697;30
0;0;1207;0.0;31
0;24;1207;0.0;31
0;39;1207;0.03056497935650602;31
0;61;1207;0.030586817118578663;31
0;88;1207;0.03054486729891565;31
0;113;1207;0.030579329189474258;31
0;135;1207;0.03057594250144372;31
0;158;1207;0.030561151614274366;31
0;182;1207;0.03054218229161819;31
0;204;1207;0.03056777661800023;31
0;232;1207;0.030611134090303763;31
0;0;1216;0.0;32
0;14;1216;0.0;32
0;27;1216;0.030120420596748156;32
0;47;1216;0.030150854464055268;32
0;75;1216;0.030158143742563537;32
0;98;1216;0.030142096448658576;32
0;121;1216;0.03007869314667555;32
0;138;1216;0.030122685185764216;32
0;156;1216;0.03008963720313993;32
0;171;1216;0.03010487204529074;32
0;190;1216;0.03011460352580173;32
0;0;1188;0.0;33
0;18;1188;0.0;33
0;43;1188;0.031375178643714224;33
0;73;1188;0.031355093125650546;33
0;93;1188;0.031395761690415566;33
0;116;1188;0.031342339145467815;33
0;143;1188;0.031333687930889226;33
0;169;1188;0.031343994937137395;33
0;192;1188;0.03132641822808025;33
0;213;1188;0.031340082838028284;33
0;233;1188;0.03133148233057952;33
0;0;1185;0.0;34
0;29;1185;0.0;34
0;55;1185;0.03032322542100169;34
0;71;1185;0.030364891465527614;34
0;90;1185;0.030278809422754963;34
0;109;1185;0.030307662856675743;34
0;127;1185;0.0303538240039404;34
0;142;1185;0.030327157313650925;34
0;159;1185;0.030335455061344694;34
0;177;1185;0.030287905966974314;34
0;195;1185;0.03031808992563316;34
0;0;1166;0.0;35
0;16;1166;0.0;35
0;37;1166;0.03034198381213505;35
0;60;1166;0.030355280811571583;35
0;82;1166;0.030359646810425276;35
0;107;1166;0.030324719626033347;35
0;127;1166;0.03033568324386806;35
0;154;1166;0.03035052564125022;35
0;188;1166;0.030365580575756387;35
0;209;1166;0.03040729603000299;35
0;228;1166;0.030368386556121632;35
0;0;1252;0.0;36
0;23;1252;0.0;36
0;41;1252;0.030989551016317216;36
0;71;1252;0.030993736885556265;36
0;94;1252;0.030998756183661675;36
0;122;1252;0.031029557344979957;36
