AREAP;attacked;denounce;females;Attacks per female;Denounces per female
1100205004001;7.838;2.86;64.336;122.53675575451787;44.74174072298497
1100205004002;7.292;2.628;60.704;121.06135516615606;43.5974064841826
1100205004003;8.782;3.23;60.848;144.7891930858862;53.394112750881064
1100205004004;8.98;3.154;72.624;124.48414752079226;43.811027490045625
1100205004005;8.696;3.114;74.052;118.1357272374158;42.225620531173895
1100205004006;7.934;2.764;67.344;118.8701831872939;41.291356195758034
1100205004007;8.23;2.938;67.568;122.90913354621574;43.657651286014854
1100205004008;8.828;3.12;72.388;122.48584667545006;43.20227827419119
1100205004009;7.594;2.654;61.556;123.97440230115924;43.50336459376032
1100205004010;8.246;3.002;65.602;126.72827990811655;46.02692132436567
1100205004011;9.556;3.464;74.746;128.86743372021044;46.795870625918276
1100205004012;10.354;3.76;89.128;116.4933716166901;42.365239718389034
1100205004013;7.914;2.742;64.564;123.49050158223706;42.78432083134867
1100205004014;11.618;4.22;94.136;123.69344934350875;44.91412924596349
1100205004015;9.236;3.384;75.452;123.15501673133109;45.216551685753856
1100205004016;7.176;2.64;57.132;125.73382737318435;46.347538695691014
1100205004017;7.552;2.612;57.59;132.617255792555;46.170018803726805
1100205004018;14.248;5.136;113.424;126.21206146126234;45.39065015056177
1100205004019;8.062;2.872;62.166;130.6822781161926;46.51229504926909
1100205004020;9.252;3.23;60.718;152.47624579175408;53.25303698837325
1100205004021;15.31;5.384;127.858;120.22427354304745;42.323904549269336
1100205004022;16.998;6.17;138.35;123.04023499800259;44.743731605987136
1100809001001;9.574;3.474;75.772;126.91098631449799;46.012650471449874
