under_influence;Run;Denounce;Females;Got attacked;Stress
0.07999999999999999;243;81;1212;205;0.030151590447149965
0.07999999999999999;244;65;1230;198;0.03125500540558321
0.07999999999999999;245;91;1277;225;0.03027281832670356
0.07999999999999999;246;85;1213;224;0.03051541943224735
0.07999999999999999;247;75;1232;187;0.030447442564411297
0.07999999999999999;248;68;1191;196;0.031074670408763605
0.07999999999999999;249;72;1271;222;0.03117291955104234
0.07999999999999999;250;67;1259;212;0.030318786935183358
0.07999999999999999;251;68;1229;199;0.03036168156749486
0.07999999999999999;252;70;1236;191;0.030425532441449837
0.07999999999999999;253;64;1234;195;0.028903279392090222
0.07999999999999999;254;71;1230;224;0.02992442815269498
0.07999999999999999;255;69;1240;179;0.029341197543977255
0.07999999999999999;256;72;1225;217;0.02966327935357591
0.07999999999999999;257;76;1215;193;0.02921772684395931
0.07999999999999999;258;71;1215;189;0.03013800178846722
0.07999999999999999;259;86;1240;248;0.030166659163015364
0.07999999999999999;260;87;1257;234;0.030635375423373776
0.07999999999999999;261;74;1227;224;0.030290213455874918
0.07999999999999999;262;83;1225;201;0.030833639515343677
0.07999999999999999;263;77;1215;222;0.03067662170300282
0.07999999999999999;264;68;1217;182;0.02901879422101301
0.07999999999999999;265;80;1217;216;0.03014714944648005
0.07999999999999999;266;75;1220;222;0.03117692733683102
0.07999999999999999;267;72;1228;210;0.029894631135658958
0.07999999999999999;268;73;1251;209;0.02942430249681825
0.07999999999999999;269;75;1241;204;0.029764371484021
0.07999999999999999;270;65;1247;195;0.029530649084211755
0.07999999999999999;271;81;1226;213;0.029317348444688862
0.07999999999999999;272;62;1248;177;0.02985959356871479
0.07999999999999999;273;86;1189;222;0.02942821105523694
0.07999999999999999;274;73;1222;208;0.02878566483295494
0.07999999999999999;275;71;1217;184;0.030787220966363965
0.07999999999999999;276;88;1193;247;0.029809940086307832
0.07999999999999999;277;74;1201;197;0.030192310644824805
0.07999999999999999;278;75;1227;199;0.030127371544055075
0.07999999999999999;279;74;1219;191;0.029368669567856834
0.07999999999999999;280;67;1209;211;0.03040883351492273
0.07999999999999999;281;59;1226;184;0.029906103322251396
0.07999999999999999;282;88;1210;197;0.03004639366738593
0.07999999999999999;283;75;1257;231;0.03033174024101113
0.07999999999999999;284;81;1204;210;0.031291380024721184
0.07999999999999999;285;73;1176;210;0.03015334975246936
0.07999999999999999;286;75;1297;218;0.029633463699902936
0.07999999999999999;287;65;1265;200;0.03058877439122196
0.07999999999999999;288;81;1222;249;0.030884511885784654
0.07999999999999999;289;63;1222;185;0.030193711845709237
0.07999999999999999;290;60;1200;169;0.029026650215771107
0.07999999999999999;291;72;1188;194;0.02911193359941316
0.07999999999999999;292;65;1201;186;0.030000598133687793
0.07999999999999999;293;89;1232;232;0.030457310011348968
0.07999999999999999;294;85;1261;232;0.030178714187244812
0.07999999999999999;295;72;1173;190;0.029371371833682228
0.07999999999999999;296;79;1211;236;0.03004725938912055
0.07999999999999999;297;81;1213;209;0.029933919159592128
0.07999999999999999;298;83;1177;223;0.03021786523349141
0.07999999999999999;299;82;1233;206;0.030583951688558715
0.07999999999999999;300;73;1222;240;0.030148038520567563
0.07999999999999999;301;85;1212;236;0.030686157046949075
0.07999999999999999;302;72;1155;224;0.029210363433571664
0.07999999999999999;303;81;1185;214;0.029511471056197443
0.07999999999999999;304;75;1200;204;0.030318814263351083
0.07999999999999999;305;73;1226;219;0.030006021150688237
0.07999999999999999;306;61;1239;220;0.0291147231515666
0.07999999999999999;307;85;1260;236;0.03116823613641767
0.07999999999999999;308;80;1188;219;0.029577993667592457
0.07999999999999999;309;76;1221;221;0.02991303609398001
0.07999999999999999;310;75;1204;181;0.029731679505163457
0.07999999999999999;311;71;1224;200;0.029395181139983805
0.07999999999999999;312;73;1214;210;0.029952143783267965
0.07999999999999999;313;84;1152;195;0.029459490470491477
0.07999999999999999;314;85;1231;222;0.030601131269896876
0.07999999999999999;315;64;1224;206;0.029293812368145156
0.07999999999999999;316;76;1276;221;0.03018834795292704
0.07999999999999999;317;70;1222;195;0.029553088844778554
0.07999999999999999;318;83;1226;233;0.030079630469138422
0.07999999999999999;319;69;1247;202;0.03011180046291327
0.07999999999999999;320;74;1169;195;0.030737308839971816
0.07999999999999999;321;84;1223;211;0.030082611607161105
0.07999999999999999;322;91;1232;223;0.02889579962716211
0.07999999999999999;323;83;1207;200;0.030504307906635695
0.07999999999999999;324;71;1248;200;0.029781306061640894
0.07999999999999999;325;81;1177;235;0.029980373817611806
0.07999999999999999;326;71;1198;206;0.030682719569831162
0.07999999999999999;327;75;1205;216;0.02902396027143198
0.07999999999999999;328;86;1225;196;0.030777973115797275
0.07999999999999999;329;79;1229;184;0.028910999180394643
0.07999999999999999;330;68;1241;182;0.03057171179750434
0.07999999999999999;331;57;1205;192;0.030037006859991493
0.07999999999999999;332;69;1199;202;0.029099727249950087
0.07999999999999999;333;79;1206;215;0.03086001718767212
0.07999999999999999;334;74;1205;188;0.029580218577899487
0.07999999999999999;335;80;1226;216;0.031019247347703165
0.07999999999999999;336;78;1280;187;0.028885844657950844
0.07999999999999999;337;85;1200;232;0.02966788747203464
0.07999999999999999;338;68;1241;200;0.030242295315741352
0.07999999999999999;339;82;1240;187;0.029829209246646303
0.07999999999999999;340;77;1254;244;0.031147355647714436
0.07999999999999999;341;75;1241;197;0.029572223516844524
0.07999999999999999;342;63;1219;209;0.030110181099042024
0.07999999999999999;343;70;1192;197;0.029559278385921692
0.07999999999999999;344;63;1216;208;0.03091222517856206
0.07999999999999999;345;86;1236;231;0.029996193339846572
0.07999999999999999;346;72;1292;211;0.03034026867911185
0.07999999999999999;347;73;1238;226;0.030335181521477576
0.07999999999999999;348;76;1224;217;0.029611935018644637
0.07999999999999999;349;79;1153;198;0.029711615816341415
0.07999999999999999;350;81;1200;212;0.03069008156142334
0.07999999999999999;351;78;1221;235;0.030437584613083015
0.07999999999999999;352;56;1203;204;0.031123339275772256
0.07999999999999999;353;74;1196;204;0.029275983072209192
0.07999999999999999;354;75;1213;190;0.030232374040217173
0.07999999999999999;355;81;1188;205;0.02956466923472607
0.07999999999999999;356;78;1190;224;0.029848388025400074
0.07999999999999999;357;72;1211;202;0.029909017298695776
0.07999999999999999;358;71;1258;211;0.030910421572960485
0.07999999999999999;359;57;1218;176;0.030060330407482426
0.07999999999999999;360;73;1222;201;0.030009442508370454
0.07999999999999999;361;80;1189;217;0.03085227326915238
0.07999999999999999;362;67;1252;190;0.030035988186906705
0.07999999999999999;363;79;1208;214;0.03000766041110666
0.07999999999999999;364;78;1177;239;0.03079186736497225
0.07999999999999999;365;75;1237;238;0.029381577484119875
0.07999999999999999;366;69;1245;197;0.029786605739585116
0.07999999999999999;367;78;1222;197;0.03001628237530238
0.07999999999999999;368;71;1229;203;0.030546628729945825
0.07999999999999999;369;73;1257;196;0.030278624532705137
0.07999999999999999;370;80;1233;194;0.029677941692801735
0.07999999999999999;371;71;1194;211;0.030128158251006662
0.07999999999999999;372;77;1202;205;0.030225860400906558
0.07999999999999999;373;78;1182;226;0.029208308517884363
0.07999999999999999;374;75;1253;201;0.02905926467216276
0.07999999999999999;375;72;1233;224;0.030744119528657625
0.07999999999999999;376;68;1202;205;0.03048322882978715
0.07999999999999999;377;80;1220;225;0.030205484485319005
0.07999999999999999;378;74;1236;214;0.03017974480714666
0.07999999999999999;379;73;1208;195;0.029477693084438907
0.07999999999999999;380;67;1203;203;0.03025159066488326
0.07999999999999999;381;79;1225;216;0.029359616703960943
0.07999999999999999;382;69;1229;188;0.029869757035016476
0.07999999999999999;383;85;1242;217;0.031044509844829298
0.07999999999999999;384;92;1190;211;0.03026000375563616
0.07999999999999999;385;76;1225;226;0.030231366258925016
0.07999999999999999;386;72;1231;208;0.03048386536153936
0.07999999999999999;387;79;1212;202;0.029038322394084812
0.07999999999999999;388;93;1189;261;0.031057788715323206
0.07999999999999999;389;75;1216;188;0.030291868448581886
0.07999999999999999;390;69;1212;225;0.030347146090261443
0.07999999999999999;391;74;1173;215;0.031291841633476994
0.07999999999999999;392;64;1229;172;0.030270806127337554
0.07999999999999999;393;65;1219;214;0.02997011005136891
0.07999999999999999;394;62;1260;201;0.029620274192464352
0.07999999999999999;395;68;1140;199;0.030140618605687314
0.07999999999999999;396;70;1261;203;0.031214684549836846
0.07999999999999999;397;79;1258;192;0.0293240576975816
0.07999999999999999;398;64;1250;205;0.030546889977948726
0.07999999999999999;399;93;1272;217;0.02996370903029824
0.15;400;86;1184;235;0.031117668159246072
0.15;401;83;1237;205;0.030785342745133427
0.15;402;84;1193;214;0.03016427218775216
0.15;403;79;1228;229;0.03003614271410197
0.15;404;82;1216;225;0.02981204838200548
0.15;405;78;1242;198;0.030865154834497772
0.15;406;85;1231;229;0.029837448059105445
0.15;407;76;1241;238;0.03101445508551929
0.15;408;71;1212;219;0.030311124727047476
0.15;409;72;1219;219;0.0294510824596886
0.15;410;82;1198;227;0.03065148043048573
0.15;411;64;1205;216;0.03032714951395603
0.15;412;84;1274;221;0.03083457914894699
0.15;413;82;1231;219;0.030013368064237947
0.15;414;68;1204;202;0.03032010008311052
0.15;415;79;1220;216;0.029900127897430413
0.15;416;56;1216;178;0.029435148286409266
0.15;417;78;1207;219;0.030609596295600394
0.15;418;68;1222;188;0.03110123729593864
0.15;419;70;1211;195;0.03024483195868979
0.15;420;78;1244;227;0.0296199573640576
0.15;421;76;1266;205;0.029703601971165585
0.15;422;92;1208;227;0.030723163293566197
0.15;423;67;1278;211;0.03032028288568687
0.15;424;73;1211;192;0.02971323974313051
0.15;425;79;1190;211;0.03015765126652881
0.15;426;73;1226;222;0.030962007634703664
0.15;427;76;1198;216;0.030716961977027005
0.15;428;76;1255;212;0.030662640947634854
0.15;429;73;1226;218;0.030496331635447835
0.15;430;74;1179;205;0.029666256780271356
0.15;431;79;1161;216;0.030193359340152937
0.15;432;73;1273;230;0.03028328813921553
0.15;433;86;1219;234;0.03119035673915819
0.15;434;71;1251;215;0.030571281759311557
0.15;435;72;1190;220;0.03189568369031128
0.15;436;88;1236;235;0.03000111577419684
0.15;437;86;1197;229;0.03072742451102434
0.15;438;67;1197;196;0.030146664069367432
0.15;439;76;1177;193;0.030834947462486266
0.15;440;77;1195;220;0.03089197441723497
0.15;441;72;1164;205;0.02936272254725829
0.15;442;81;1205;238;0.03107836527669939
0.15;443;78;1223;212;0.029657276059709144
0.15;444;75;1221;213;0.03160421840061457
0.15;445;71;1242;216;0.03082983653666261
0.15;446;66;1203;202;0.030962852931600757
0.15;447;78;1198;218;0.03042359460365641
0.15;448;64;1245;187;0.0306388857319866
0.15;449;65;1221;227;0.03055733863579781
0.15;450;78;1215;213;0.030057126925482014
0.15;451;93;1201;249;0.030204844168570853
0.15;452;70;1242;210;0.029991310195493278
0.15;453;68;1213;184;0.03102963817318707
0.15;454;78;1248;208;0.030341249943495196
0.15;455;80;1227;235;0.030383613609472483
0.15;456;73;1221;197;0.029909492560761315
0.15;457;64;1205;212;0.031115848899473626
0.15;458;66;1186;215;0.030759190618785705
0.15;459;87;1252;237;0.029696802556393613
0.15;460;78;1227;202;0.029642100019777476
0.15;461;86;1206;192;0.030444839219039795
0.15;462;93;1245;243;0.02972697774530546
0.15;463;72;1255;210;0.030664983590676438
0.15;464;71;1179;231;0.030181297176318567
0.15;465;79;1232;229;0.030045059641683802
0.15;466;68;1164;220;0.03131157343387582
0.15;467;71;1238;209;0.030334519020836576
0.15;468;77;1251;207;0.030139389039571588
0.15;469;77;1290;220;0.03105761363179078
0.15;470;84;1161;215;0.030581562011938034
0.15;471;83;1309;214;0.030279406092853307
0.15;472;78;1273;211;0.029122802115974768
0.15;473;69;1197;201;0.030209300333146432
0.15;474;86;1230;232;0.030326184129240753
0.15;475;72;1158;212;0.030047325254832304
0.15;476;93;1238;235;0.029711942604495344
0.15;477;73;1242;193;0.02972827303893281
0.15;478;85;1195;216;0.02997199237170726
0.15;479;91;1241;214;0.03149929476580493
0.15;480;71;1255;200;0.029704146365343694
0.15;481;72;1278;218;0.030011166166926367
0.15;482;74;1211;232;0.03067474784867057
0.15;483;81;1219;228;0.030276591545747626
0.15;484;68;1257;219;0.03092108054367782
0.15;485;60;1210;212;0.030929316195237328
0.15;486;86;1246;229;0.030360684688362602
0.15;487;78;1191;209;0.03087331740585403
0.15;488;76;1212;210;0.029672854985302335
0.15;489;68;1197;185;0.029928087554598654
0.15;490;70;1213;204;0.03079059261631513
0.15;491;80;1192;223;0.029738939596556158
0.15;492;75;1191;218;0.030332575727379504
0.15;493;90;1251;229;0.02976092512406851
0.15;494;82;1200;244;0.031114131419929535
0.15;495;66;1231;205;0.02997270711281016
0.15;496;67;1220;196;0.03011819919806844
0.15;497;63;1195;213;0.03023104277723239
0.15;498;83;1158;217;0.03009960381455723
0.15;499;82;1228;220;0.030280546822034342
0.15;500;73;1181;218;0.030692918875512395
0.15;501;75;1220;225;0.031139441755376154
0.15;502;78;1178;186;0.03090311677456978
0.15;503;72;1251;218;0.029798546799127586
0.15;504;72;1218;202;0.030817678635155218
0.15;505;78;1179;234;0.03097531145834359
0.15;506;65;1175;194;0.02974876404998042
0.15;507;86;1256;224;0.031073081292062318
0.15;508;87;1219;203;0.030421866421023416
0.15;509;62;1193;187;0.0313739954843981
0.15;510;83;1210;228;0.029861584221480636
0.15;511;78;1256;224;0.030862009039982798
0.15;512;79;1233;207;0.030106835538493415
0.15;513;72;1249;195;0.03098656997740405
0.15;514;75;1225;217;0.03084812311096859
0.15;515;81;1183;215;0.030820109083049198
0.15;516;78;1198;214;0.030232468264806665
0.15;517;77;1221;209;0.03026398268664927
0.15;518;73;1226;223;0.03067196902907639
0.15;519;79;1226;199;0.031294708396155446
0.15;520;74;1243;203;0.030509660507967603
0.15;521;92;1281;230;0.030075609498543283
0.15;522;80;1176;245;0.02946933925099732
0.15;523;77;1226;203;0.030598083659500838
0.15;524;88;1168;242;0.03156695379813597
0.15;525;75;1159;234;0.029679160330402063
0.15;526;62;1235;194;0.03077384442343045
0.15;527;72;1204;187;0.02979808811904804
0.15;528;58;1187;207;0.030521518499756244
0.15;529;66;1191;204;0.029904640758756665
0.15;530;60;1190;197;0.030102844471694964
0.15;531;76;1242;246;0.03125604627795786
0.15;532;63;1227;208;0.030861992744805465
0.15;533;65;1218;192;0.03031457306292473
0.15;534;70;1244;206;0.030114437987447725
0.15;535;79;1259;223;0.030078571345476028
0.15;536;73;1248;208;0.031194433314012348
0.15;537;74;1213;188;0.031042146945376183
0.15;538;85;1225;213;0.030018080569550264
0.15;539;73;1259;219;0.030848078858531754
0.15;540;68;1208;204;0.029766299083658968
0.15;541;76;1200;222;0.030374377926929264
0.15;542;82;1212;215;0.030759682649384345
0.15;543;69;1209;202;0.030773510831236646
0.15;544;93;1143;258;0.030358843132191837
0.15;545;80;1220;213;0.031445870507238335
0.15;546;66;1187;186;0.029327101199268967
0.15;547;68;1223;215;0.030163951894704912
0.15;548;88;1229;236;0.030845257003405947
0.15;549;64;1174;200;0.030697317549319456
0.15;550;79;1173;204;0.030124544912049755
0.15;551;73;1228;209;0.03140627149848042
0.15;552;83;1175;224;0.030610224484059034
0.15;553;74;1212;234;0.03186780611845589
0.15;554;76;1208;192;0.030670165019884895
0.15;555;95;1231;239;0.03126711789275808
0.15;556;67;1188;201;0.030528563871679317
0.15;557;78;1236;188;0.03061140640941981
0.15;558;65;1190;187;0.030886974394006388
0.15;559;69;1272;183;0.029357538766707377
0.15;560;79;1206;197;0.02990106191631019
0.15;561;72;1267;196;0.030676105489790044
0.15;562;83;1225;220;0.029625453407409335
0.15;563;74;1220;216;0.030111531289838497
0.15;564;76;1193;203;0.030151990114904124
0.15;565;75;1186;212;0.03127302612409929
0.15;566;69;1191;198;0.030721114994765198
0.15;567;84;1196;237;0.029799425912163093
0.15;568;81;1198;247;0.030768112174867544
0.15;569;73;1211;206;0.03010250768627318
0.15;570;75;1227;215;0.030844858590783952
0.15;571;84;1188;226;0.030479975062805663
0.15;572;73;1236;207;0.030309033843975774
0.15;573;88;1201;226;0.03088125746398483
0.15;574;75;1251;212;0.02979295560478598
0.15;575;69;1189;216;0.030284710094750835
0.15;576;67;1224;198;0.030180516757827743
0.15;577;69;1235;206;0.02941242482965345
0.15;578;66;1231;196;0.030371852163348777
0.15;579;78;1218;229;0.03091775441488458
0.15;580;78;1210;199;0.031442795094848604
0.15;581;88;1233;229;0.03055611401548248
0.15;582;65;1226;186;0.029571466628692488
