quarantine;Run;Denounce;Females;Got attacked;Stress
True;242;40;1163;207;0.03155693684461915
True;243;67;1237;253;0.03322576924115252
True;244;46;1208;224;0.03280331059932311
True;245;58;1195;238;0.03244144751626289
True;246;65;1241;244;0.03338649054663912
True;247;42;1198;216;0.03288303588573618
True;248;56;1220;241;0.03263797424837849
True;249;60;1203;216;0.03307571951456751
True;250;51;1198;241;0.03261433061238048
True;251;55;1213;209;0.032895700889349254
True;252;52;1283;229;0.03349791893715568
True;253;67;1236;238;0.03240757175987643
True;254;52;1151;209;0.03398575150632281
True;255;77;1283;252;0.03275398331504954
True;256;67;1170;235;0.033101584989757134
True;257;45;1191;218;0.03278330744340185
True;258;57;1203;217;0.033296533671823135
True;259;64;1234;242;0.03264980868635925
True;260;47;1232;204;0.032283133448227315
True;261;64;1206;232;0.031501319008385174
True;262;48;1279;243;0.03272296903958944
True;263;67;1231;227;0.03262460766030153
True;264;62;1239;231;0.03330830965828902
True;265;48;1208;197;0.032926837689433316
True;266;57;1223;220;0.03312412680218354
True;267;65;1270;250;0.03278752893937989
True;268;75;1253;259;0.03399241553163091
True;269;59;1284;241;0.0325677927071424
True;270;61;1217;219;0.0332359422789151
True;271;52;1207;229;0.032206009516592686
True;272;54;1271;226;0.032691758526166445
True;273;60;1243;217;0.03275757885362098
True;274;61;1195;234;0.03296466398641874
True;275;51;1221;224;0.032982452612176104
True;276;60;1237;245;0.03283581433600682
True;277;47;1225;219;0.0332127279144114
True;278;59;1176;233;0.032969866406274195
True;279;65;1244;237;0.03256937070792691
True;280;48;1225;230;0.03226024617181754
True;281;60;1192;239;0.033812754244570295
True;282;59;1246;252;0.034062360155970785
True;283;50;1220;218;0.033452353855780714
True;284;46;1201;216;0.03323111295159998
True;285;64;1204;265;0.03263809247345041
True;286;56;1255;222;0.033158074418888274
True;287;56;1210;238;0.03251926914977406
True;288;64;1192;214;0.03297381958218059
True;289;67;1197;236;0.03292372581252093
True;290;56;1262;215;0.032285450405720756
True;291;52;1211;221;0.03292431711048516
True;292;69;1222;241;0.032751358907320276
True;293;61;1231;243;0.0323981601291159
True;294;61;1250;257;0.03369812331727915
True;295;48;1167;225;0.033805447929583426
True;296;53;1191;225;0.032918921030781735
True;297;65;1231;228;0.03226305626913356
True;298;67;1243;237;0.03279355677624652
True;299;57;1185;266;0.033848850599916755
True;300;55;1216;222;0.03395288191840244
True;301;57;1234;235;0.03277260058046425
True;302;54;1183;223;0.03278945964679607
True;303;61;1184;229;0.03266312924486071
True;304;70;1196;266;0.03311061460787622
True;305;66;1238;246;0.032641226299849876
True;306;52;1242;232;0.03247473025212589
True;307;64;1257;223;0.03257597413360967
True;308;54;1205;231;0.032140035467496456
True;309;62;1205;223;0.03388698228448464
True;310;55;1188;225;0.03277388433286836
True;311;55;1207;221;0.03356949734244338
True;312;50;1197;209;0.0338840117921442
True;313;57;1217;227;0.032899772673167516
True;314;53;1195;242;0.032936712331849624
True;315;52;1209;212;0.033256324765935145
True;316;55;1219;207;0.03364795222577703
True;317;58;1255;238;0.03361787014664772
True;318;61;1205;235;0.03190638685210352
True;319;58;1179;229;0.03279770745115468
True;320;56;1189;226;0.032304823939464836
True;321;53;1228;226;0.031831637306440695
True;322;66;1223;225;0.03283640675405836
True;323;61;1241;223;0.03154709971128499
True;324;61;1240;242;0.033415946258032896
True;325;72;1207;257;0.0347911854161528
True;326;54;1224;268;0.03266703943698326
True;327;50;1211;228;0.03283754017598082
True;328;64;1184;228;0.033081865698124234
True;329;57;1192;223;0.032718420150167245
True;330;62;1200;236;0.032411257624285185
True;331;52;1185;216;0.0332665407913458
True;332;69;1234;248;0.032976422839131984
True;333;58;1231;263;0.03210331595263925
True;334;54;1192;212;0.03274690412741364
True;335;60;1212;246;0.03292038921630048
True;336;64;1256;267;0.03364337138055267
True;337;54;1231;232;0.03289789389290285
True;338;58;1201;217;0.03183614185739953
True;339;57;1189;270;0.033584441026472886
True;340;70;1198;232;0.033744266435677545
True;341;67;1296;235;0.03378766257068389
True;342;54;1211;185;0.03313687276520846
True;343;54;1238;228;0.03241745514777802
True;344;66;1259;244;0.03380174212938242
True;345;58;1276;240;0.0326524942198341
True;346;41;1218;221;0.03284594748911754
True;347;71;1279;257;0.03316703061303427
True;348;67;1205;231;0.03235176967079609
True;349;60;1208;254;0.033120921657252445
True;350;57;1152;225;0.032513364406355764
True;351;54;1207;212;0.03266801648377612
True;352;50;1209;211;0.032878513292567364
True;353;55;1206;228;0.03311952781317439
True;354;54;1226;240;0.03369911682723145
True;355;58;1255;230;0.031860557053702866
True;356;60;1250;217;0.033984077855181836
True;357;50;1144;224;0.032923603529847675
True;358;55;1240;240;0.03360454584670804
True;359;54;1240;228;0.03266373323460472
True;360;67;1207;260;0.03255463093434473
True;361;41;1199;192;0.033232132540973285
True;362;61;1206;243;0.0327713503411021
True;363;61;1205;240;0.031719778240223796
True;364;60;1175;267;0.03313133508837159
True;365;70;1197;230;0.034226703892891064
True;366;57;1235;238;0.03196239137708113
True;367;64;1227;223;0.03289553683102682
True;368;51;1223;242;0.0336274364996219
True;369;65;1220;248;0.032522412858120284
True;370;64;1251;259;0.03304456766264571
True;371;56;1288;218;0.03300849382578957
True;372;53;1247;194;0.03289015003641801
True;373;55;1188;248;0.03244454869369413
True;374;61;1260;207;0.0325952824275949
True;375;62;1205;245;0.0331322131335704
True;376;60;1222;235;0.033026301229413094
True;377;42;1176;185;0.032612361830915156
True;378;67;1215;241;0.03161830257409977
True;379;51;1244;230;0.032606804243412536
True;380;67;1229;242;0.03203314659630585
True;381;59;1161;217;0.03316770822646741
True;382;68;1264;245;0.03199556414620065
True;383;73;1176;255;0.032595954590139316
True;384;69;1196;245;0.031807028537303
True;385;50;1251;254;0.03253478939431653
True;386;49;1217;239;0.03353132633338748
True;387;64;1197;226;0.03393078461907944
True;388;68;1253;243;0.03332947391173153
True;389;52;1213;249;0.032228468644803415
True;390;64;1254;221;0.031730625540766756
True;391;66;1195;260;0.03220618504383192
True;392;67;1220;243;0.03189454136358315
True;393;65;1200;240;0.03316744083116449
True;394;60;1224;244;0.033415610241644834
True;395;58;1237;216;0.03237064078484546
True;396;60;1234;257;0.033155991432960115
True;397;64;1213;288;0.032790629741882765
True;398;66;1251;210;0.03309288449519336
True;399;51;1231;214;0.03296631347801391
