has_gun;Run;Denounce;Females;Got attacked;Stress
0.1;0;75;1214;202;0.030382867833756703
0.1;1;87;1254;232;0.03019258870714365
0.1;2;67;1214;201;0.029218011558208544
0.1;3;65;1208;182;0.0303658032005613
0.1;4;80;1248;212;0.030712919479695712
0.1;5;62;1202;200;0.030178624362057652
0.1;6;72;1277;218;0.030065401919728466
0.1;7;78;1241;243;0.03024511360168566
0.1;8;74;1260;183;0.030677785054292712
0.1;9;68;1180;184;0.030208738117361085
0.1;10;75;1154;225;0.030235275270081737
0.1;11;83;1244;230;0.03130888618341311
0.1;12;59;1207;185;0.029709470441295367
0.1;13;73;1207;220;0.02977917782664926
0.1;14;77;1226;198;0.030364725941780423
0.1;15;88;1229;233;0.030111592588649823
0.1;16;74;1202;190;0.02936887153394996
0.1;17;88;1189;223;0.02970198630571964
0.1;18;80;1213;215;0.029386044205115557
0.1;19;71;1244;241;0.02879716674178314
0.1;20;76;1170;204;0.0309034795402541
0.1;21;83;1166;183;0.03095202032499954
0.1;22;83;1253;190;0.029436833013343613
0.1;23;55;1249;175;0.02956992675456164
0.1;24;70;1246;203;0.03007643629857282
0.1;25;66;1191;180;0.030060629385770525
0.1;26;89;1246;234;0.030457854917091635
0.1;27;67;1238;213;0.02986719534148769
0.1;28;70;1214;204;0.030641211837862368
0.1;29;69;1239;201;0.029894327357007915
0.1;30;77;1219;222;0.030417962569228275
0.1;31;72;1228;225;0.029369640494742413
0.1;32;75;1217;191;0.03047556238453518
0.1;33;73;1180;203;0.030340806389372078
0.1;34;78;1211;202;0.030481385834376783
0.1;35;75;1241;217;0.02919920842112387
0.1;36;83;1185;229;0.029971798061505878
0.1;37;65;1231;208;0.029749271697021944
0.1;38;65;1159;213;0.030886834936782636
0.1;39;73;1202;198;0.0295812891588188
0.1;40;74;1235;224;0.02961699046790781
0.1;41;74;1167;171;0.029633664274187187
0.1;42;73;1218;209;0.03002301059338076
0.1;43;68;1172;186;0.030936322183643845
0.1;44;61;1222;182;0.03015346424018686
0.1;45;84;1255;215;0.03023874713629446
0.1;46;71;1240;195;0.02948786975803889
0.1;47;93;1213;238;0.030787516628447427
0.1;48;64;1242;218;0.030085349225460942
0.1;49;74;1181;205;0.03017052684879478
0.1;50;79;1245;216;0.030966320607242602
0.1;51;82;1224;203;0.031021782253424116
0.1;52;72;1219;194;0.02959269061503058
0.1;53;65;1207;187;0.030049894600314767
0.1;54;68;1143;192;0.030313950159710012
0.1;55;63;1249;198;0.029675824719663256
0.1;56;63;1209;193;0.030347744726346236
0.1;57;76;1251;217;0.03007979840781696
0.1;58;75;1220;229;0.031031165753630234
0.1;59;80;1172;236;0.03123452830251305
0.1;60;74;1164;212;0.028818427090583014
0.1;61;71;1186;201;0.030175969946712056
0.1;62;67;1224;185;0.029826137352242644
0.1;63;72;1221;185;0.030428600067815798
0.1;64;74;1199;205;0.031020797473536067
0.1;65;71;1216;209;0.030102659990207843
0.1;66;76;1234;202;0.029651784537620872
0.1;67;80;1208;192;0.02998700774542141
0.1;68;85;1251;227;0.030344047147182578
0.1;69;65;1238;194;0.03002776052159197
0.1;70;88;1178;258;0.030648355993083885
0.1;71;78;1227;182;0.02988709220189908
0.1;72;77;1193;210;0.030703477402329867
0.1;73;70;1219;180;0.028411263940736897
0.1;74;63;1231;220;0.02850373829467758
0.1;75;83;1205;206;0.030314709130351905
0.1;76;83;1226;224;0.028691253614395035
0.1;77;66;1204;193;0.029948092494468566
0.1;78;79;1197;214;0.030598040883700196
0.1;79;70;1249;205;0.030600127671651326
0.1;80;64;1193;200;0.03067504006339592
0.1;81;94;1192;235;0.03181947900161393
0.1;82;73;1268;202;0.03008685942223602
0.1;83;86;1217;241;0.030613241600879672
0.1;84;82;1230;223;0.029984661682339188
0.1;85;66;1253;216;0.030722878045943963
0.1;86;85;1228;241;0.03038200088620619
0.1;87;60;1202;200;0.03128038770885013
0.1;88;78;1213;214;0.03143055248953471
0.1;89;87;1216;219;0.031071112817523595
0.1;90;78;1232;231;0.030843752808491325
0.1;91;78;1233;217;0.030390701143726745
0.1;92;66;1214;194;0.029670983566474192
0.1;93;90;1259;231;0.03003591442232043
0.1;94;86;1252;228;0.030622245321525795
0.1;95;81;1238;230;0.029905161063985775
0.1;96;70;1216;212;0.030347379078855694
0.1;97;86;1227;221;0.02982134517731282
0.1;98;90;1132;228;0.030306807861971985
0.1;99;80;1219;211;0.03057670109233986
0.1;100;61;1196;200;0.031097767660828345
0.1;101;73;1258;200;0.03047196824963096
0.1;102;72;1230;211;0.030085165320410785
0.1;103;77;1222;207;0.030026683204848546
0.1;104;69;1238;226;0.030400839676270747
0.1;105;74;1259;205;0.029503231495578923
0.1;106;79;1249;190;0.029870122990795583
0.1;107;81;1213;219;0.029651873961028814
0.1;108;86;1211;216;0.030407378917239495
0.1;109;52;1183;180;0.03053152767928051
0.1;110;64;1214;207;0.03051350504856866
0.1;111;81;1205;223;0.030097869867160378
0.1;112;68;1209;192;0.02938242324448307
0.1;113;90;1227;229;0.030107966422933098
0.1;114;77;1199;224;0.029978597972865475
0.1;115;79;1201;217;0.03008757536434289
0.1;116;97;1195;261;0.030012586470903574
0.1;117;79;1214;200;0.030104667202545246
0.1;118;73;1227;200;0.030312310252024233
0.1;119;60;1187;186;0.030089426516087855
0.1;120;70;1218;197;0.030272170180147363
0.1;121;84;1239;230;0.029952563850663555
0.1;122;85;1226;233;0.030432835843587698
0.1;123;77;1217;198;0.029817044272261728
0.1;124;68;1203;203;0.02990276525964283
0.1;125;86;1238;219;0.03112630064059598
0.1;126;81;1237;231;0.030247769862005516
0.1;127;62;1193;184;0.03019643423754234
0.1;128;76;1210;225;0.031194573893569895
0.1;129;79;1230;228;0.030707375184945648
0.1;130;75;1168;206;0.030539682132567962
0.1;131;79;1227;219;0.029804552111866934
0.1;132;56;1260;184;0.02957986355164554
0.1;133;73;1246;208;0.029168185037739738
0.1;134;76;1184;205;0.030165554588493387
0.1;135;71;1209;222;0.0310408726393746
0.1;136;87;1194;227;0.030595440815450903
0.1;137;69;1188;206;0.02994715304581138
0.1;138;76;1234;213;0.029018973285631418
0.1;139;81;1258;238;0.03082762698053388
0.1;140;75;1207;214;0.030159525080748695
0.1;141;77;1178;196;0.030841741956268126
0.1;142;80;1182;255;0.030476220041088894
0.1;143;96;1218;226;0.030334878355146585
0.1;144;81;1198;201;0.02928599879359139
0.1;145;70;1226;216;0.029448020015933725
0.1;146;76;1234;191;0.029838200027648733
0.1;147;84;1248;201;0.030377721467471683
0.1;148;65;1233;191;0.030333089788833832
